Parameter,Value,Layer,Key ID,Value Type,Action
CFG-MSGOUT-NMEA_ID_GLL_USB,0,RAM,0x209100cc,U1,Set
CFG-MSGOUT-NMEA_ID_GLL_USB,0,Flash,0x209100cc,U1,Set
CFG-MSGOUT-NMEA_ID_GNS_I2C,0,RAM,0x209100b5,U1,Set
CFG-MSGOUT-NMEA_ID_GNS_SPI,0,RAM,0x209100b9,U1,Set
CFG-MSGOUT-NMEA_ID_GNS_UART1,0,RAM,0x209100b6,U1,Set
CFG-MSGOUT-NMEA_ID_GNS_UART2,0,RAM,0x209100b7,U1,Set
CFG-MSGOUT-NMEA_ID_GNS_USB,0,RAM,0x209100b8,U1,Set
CFG-MSGOUT-NMEA_ID_GRS_I2C,0,RAM,0x209100ce,U1,Set
CFG-MSGOUT-NMEA_ID_GRS_SPI,0,RAM,0x209100d2,U1,Set
CFG-MSGOUT-NMEA_ID_GRS_UART1,0,RAM,0x209100cf,U1,Set
CFG-MSGOUT-NMEA_ID_GRS_UART2,0,RAM,0x209100d0,U1,Set
CFG-MSGOUT-NMEA_ID_GRS_USB,0,RAM,0x209100d1,U1,Set
CFG-MSGOUT-NMEA_ID_GSA_I2C,0,RAM,0x209100bf,U1,Set
CFG-MSGOUT-NMEA_ID_GSA_I2C,0,Flash,0x209100bf,U1,Set
CFG-MSGOUT-NMEA_ID_GSA_SPI,0,RAM,0x209100c3,U1,Set
CFG-MSGOUT-NMEA_ID_GSA_SPI,0,Flash,0x209100c3,U1,Set
CFG-MSGOUT-NMEA_ID_GSA_UART1,0,RAM,0x209100c0,U1,Set
CFG-MSGOUT-NMEA_ID_GSA_UART1,0,Flash,0x209100c0,U1,Set
CFG-MSGOUT-NMEA_ID_GSA_UART2,0,RAM,0x209100c1,U1,Set
CFG-MSGOUT-NMEA_ID_GSA_UART2,0,Flash,0x209100c1,U1,Set
CFG-MSGOUT-NMEA_ID_GSA_USB,0,RAM,0x209100c2,U1,Set
CFG-MSGOUT-NMEA_ID_GSA_USB,0,Flash,0x209100c2,U1,Set
CFG-MSGOUT-NMEA_ID_GST_I2C,0,RAM,0x209100d3,U1,Set
CFG-MSGOUT-NMEA_ID_GST_SPI,0,RAM,0x209100d7,U1,Set
CFG-MSGOUT-NMEA_ID_GST_UART1,0,RAM,0x209100d4,U1,Set
CFG-MSGOUT-NMEA_ID_GST_UART2,0,RAM,0x209100d5,U1,Set
CFG-MSGOUT-NMEA_ID_GST_USB,0,RAM,0x209100d6,U1,Set
CFG-MSGOUT-NMEA_ID_GSV_I2C,0,RAM,0x209100c4,U1,Set
CFG-MSGOUT-NMEA_ID_GSV_I2C,0,Flash,0x209100c4,U1,Set
CFG-MSGOUT-NMEA_ID_GSV_SPI,0,RAM,0x209100c8,U1,Set
CFG-MSGOUT-NMEA_ID_GSV_SPI,0,Flash,0x209100c8,U1,Set
CFG-MSGOUT-NMEA_ID_GSV_UART1,0,RAM,0x209100c5,U1,Set
CFG-MSGOUT-NMEA_ID_GSV_UART1,0,Flash,0x209100c5,U1,Set
CFG-MSGOUT-NMEA_ID_GSV_UART2,0,RAM,0x209100c6,U1,Set
CFG-MSGOUT-NMEA_ID_GSV_UART2,0,Flash,0x209100c6,U1,Set
CFG-MSGOUT-NMEA_ID_GSV_USB,0,RAM,0x209100c7,U1,Set
CFG-MSGOUT-NMEA_ID_GSV_USB,0,Flash,0x209100c7,U1,Set
CFG-MSGOUT-NMEA_ID_RLM_I2C,0,RAM,0x20910400,U1,Set
CFG-MSGOUT-NMEA_ID_RLM_SPI,0,RAM,0x20910404,U1,Set
CFG-MSGOUT-NMEA_ID_RLM_UART1,0,RAM,0x20910401,U1,Set
CFG-MSGOUT-NMEA_ID_RLM_UART2,0,RAM,0x20910402,U1,Set
