iTOW,tAcc,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid
388969000,7,388969,362327,1377,18,True,True,True
388979000,7,388979,367112,1377,18,True,True,True
388989000,8,388989,371898,1377,18,True,True,True
388999000,8,388999,376684,1377,18,True,True,True
389009000,8,389009,381470,1377,18,True,True,True
389019000,8,389019,386257,1377,18,True,True,True
389029000,8,389029,391044,1377,18,True,True,True
389039000,9,389039,395831,1377,18,True,True,True
389049000,9,389049,400618,1377,18,True,True,True
389059000,9,389059,405404,1377,18,True,True,True
389069000,9,389069,410192,1377,18,True,True,True
389079000,9,389079,414982,1377,18,True,True,True
389089000,9,389089,419770,1377,18,True,True,True
389099000,9,389099,424555,1377,18,True,True,True
389109000,9,389109,429341,1377,18,True,True,True
389119000,9,389119,434126,1377,18,True,True,True
389129000,9,389129,438911,1377,18,True,True,True
389139000,9,389139,443699,1377,18,True,True,True
389149000,9,389149,448486,1377,18,True,True,True
389159000,8,389159,453267,1377,18,True,True,True
389169000,7,389169,458050,1377,18,True,True,True
389179000,7,389179,462833,1377,18,True,True,True
389189000,7,389189,467616,1377,18,True,True,True
389199000,7,389199,472400,1377,18,True,True,True
389209000,7,389209,477185,1377,18,True,True,True
389219000,7,389219,481971,1377,18,True,True,True
389229000,7,389229,486757,1377,18,True,True,True
389239000,7,389239,491542,1377,18,True,True,True
389249000,7,389249,496326,1377,18,True,True,True
389259000,7,389259,-498890,1377,18,True,True,True
389269000,7,389269,-494107,1377,18,True,True,True
389279000,7,389279,-489324,1377,18,True,True,True
389289000,7,389289,-484541,1377,18,True,True,True
389299000,7,389299,-479758,1377,18,True,True,True
389309000,6,389309,-474973,1377,18,True,True,True
389319000,6,389319,-470188,1377,18,True,True,True
389329000,7,389329,-465402,1377,18,True,True,True
389339000,7,389339,-460616,1377,18,True,True,True
389349000,7,389349,-455828,1377,18,True,True,True
389359000,6,389359,-451040,1377,18,True,True,True
389369000,6,389369,-446255,1377,18,True,True,True
389379000,6,389379,-441471,1377,18,True,True,True
389389000,6,389389,-436687,1377,18,True,True,True
389399000,6,389399,-431904,1377,18,True,True,True
389409000,6,389409,-427122,1377,18,True,True,True
389419000,6,389419,-422337,1377,18,True,True,True
389429000,6,389429,-417551,1377,18,True,True,True
389439000,6,389439,-412764,1377,18,True,True,True
389449000,6,389449,-407980,1377,18,True,True,True
389459000,6,389459,-403197,1377,18,True,True,True
389469000,6,389469,-398414,1377,18,True,True,True
389479000,6,389479,-393630,1377,18,True,True,True
389489000,6,389489,-388846,1377,18,True,True,True
389499000,6,389499,-384063,1377,18,True,True,True
389509000,6,389509,-379277,1377,18,True,True,True
389519000,6,389519,-374492,1377,18,True,True,True
389529000,6,389529,-369706,1377,18,True,True,True
389539000,6,389539,-364921,1377,18,True,True,True
389549000,6,389549,-360136,1377,18,True,True,True
389559000,6,389559,-355347,1377,18,True,True,True
389569000,6,389569,-350559,1377,18,True,True,True
389579000,6,389579,-345774,1377,18,True,True,True
389589000,6,389589,-340991,1377,18,True,True,True
389599000,6,389599,-336209,1377,18,True,True,True
389609000,6,389609,-331426,1377,18,True,True,True
389619000,6,389619,-326644,1377,18,True,True,True
389629000,6,389629,-321863,1377,18,True,True,True
389639000,6,389639,-317081,1377,18,True,True,True
389649000,6,389649,-312298,1377,18,True,True,True
389659000,5,389659,-307516,1377,18,True,True,True
389669000,5,389669,-302736,1377,18,True,True,True
389679000,5,389679,-297956,1377,18,True,True,True
389689000,5,389689,-293175,1377,18,True,True,True
389699000,5,389699,-288392,1377,18,True,True,True
389709000,5,389709,-283610,1377,18,True,True,True
389719000,5,389719,-278827,1377,18,True,True,True
389729000,5,389729,-274046,1377,18,True,True,True
389739000,5,389739,-269262,1377,18,True,True,True
389749000,5,389749,-264479,1377,18,True,True,True
