iTOW,clkB,clkD,tAcc,fAcc
388279000,-32341,-478,12,669
388289000,-37121,-478,12,663
388299000,-41900,-478,12,658
388309000,-46679,-478,12,641
388319000,-51459,-478,12,699
388329000,-56239,-478,12,696
388339000,-61016,-478,12,713
388349000,-65794,-478,12,697
388359000,-70573,-478,12,712
388369000,-75354,-478,12,685
388379000,-80134,-478,12,698
388389000,-84914,-478,12,692
388399000,-89696,-478,12,685
388409000,-94481,-478,11,692
388419000,-99265,-478,11,696
388429000,-104049,-478,11,687
388439000,-108831,-478,11,686
388449000,-113615,-478,10,658
388459000,-118399,-478,10,668
388469000,-123186,-478,8,674
388479000,-127969,-478,8,743
388489000,-132751,-478,7,707
388499000,-137533,-478,7,701
388509000,-142315,-478,7,671
388519000,-147095,-478,7,664
388529000,-151876,-478,7,682
388539000,-156655,-478,7,658
388549000,-161435,-478,7,686
388559000,-166215,-478,7,680
388569000,-170995,-478,7,638
388579000,-175777,-478,7,641
388589000,-180560,-478,7,673
388599000,-185342,-478,7,674
388609000,-190126,-478,8,695
388619000,-194908,-478,8,696
388629000,-199688,-478,8,681
388639000,-204470,-478,8,692
388649000,-209254,-478,9,695
388659000,-214036,-478,9,676
388669000,-218819,-478,9,682
388679000,-223604,-478,9,696
388689000,-228387,-478,9,708
388699000,-233171,-478,9,686
388709000,-237955,-478,9,719
388719000,-242740,-478,9,708
388729000,-247525,-478,9,666
388739000,-252310,-478,9,671
388749000,-257094,-478,9,704
388759000,-261879,-478,9,678
388769000,-266663,-478,9,768
388779000,-271445,-478,8,744
388789000,-276229,-478,8,739
388799000,-281013,-478,8,761
388809000,-285796,-478,8,676
388819000,-290579,-478,8,670
388829000,-295362,-478,8,674
388839000,-300147,-478,8,689
388849000,-304932,-478,8,719
388859000,-309717,-478,8,650
388869000,-314503,-478,8,635
388879000,-319288,-479,8,705
388889000,-324073,-479,8,581
388899000,-328857,-478,8,577
388909000,-333640,-478,8,711
388919000,-338423,-478,8,720
388929000,-343205,-478,7,702
388939000,-347987,-478,7,687
388949000,-352768,-478,7,688
388959000,-357551,-478,6,728
388969000,-362334,-478,7,729
388979000,-367120,-478,7,730
388989000,-371905,-478,7,790
388999000,-376692,-478,8,756
389009000,-381478,-478,8,747
389019000,-386264,-478,8,819
389029000,-391051,-478,8,725
389039000,-395839,-478,8,835
389049000,-400625,-478,8,747
389059000,-405411,-478,8,748
389069000,-410200,-479,8,744
389079000,-414989,-479,8,730
389089000,-419777,-479,8,755
389099000,-424562,-478,8,866
389109000,-429348,-478,8,825
389119000,-434133,-479,8,770
389129000,-438919,-479,8,744
389139000,-443706,-479,8,760
389149000,-448493,-478,8,870
389159000,-453274,-479,7,790
389169000,-458057,-479,7,776
389179000,-462840,-478,6,779
389189000,-467623,-479,6,774
389199000,-472407,-479,6,770
389209000,-477192,-479,6,789
389219000,-481978,-479,6,767
389229000,-486764,-479,6,778
389239000,-491549,-479,6,741
389249000,-496333,-479,6,798
389259000,-501117,-479,6,766
389269000,-505900,-478,6,738
389279000,-510683,-478,7,724
389289000,-515466,-478,7,696
389299000,-520249,-478,6,691
389309000,-525034,-478,6,696
389319000,-529819,-479,6,667
389329000,-534605,-478,6,668
389339000,-539391,-479,6,685
389349000,-544179,-479,6,686
389359000,-548967,-479,6,664
389369000,-553752,-478,6,642
389379000,-558536,-478,6,655
389389000,-563320,-478,6,670
389399000,-568103,-478,6,660
389409000,-572885,-478,6,661
389419000,-577670,-478,6,671
389429000,-582456,-478,6,659
389439000,-587242,-478,6,653
389449000,-592027,-478,6,653
389459000,-596810,-478,6,615
389469000,-601593,-478,6,645
389479000,-606376,-478,6,645
389489000,-611161,-479,6,624
389499000,-615944,-478,6,605
389509000,-620729,-479,6,618
389519000,-625515,-478,6,614
389529000,-630300,-478,6,617
389539000,-635086,-478,6,633
389549000,-639871,-478,6,619
389559000,-644660,-478,5,629
389569000,-649448,-478,5,617
389579000,-654233,-479,5,644
389589000,-659016,-478,5,637
389599000,-663798,-478,5,649
389609000,-668581,-478,5,643
389619000,-673362,-478,5,614
389629000,-678143,-478,5,628
389639000,-682925,-478,5,609
389649000,-687708,-478,5,604
389659000,-692490,-478,5,592
389669000,-697270,-478,5,577
389679000,-702051,-478,5,568
389689000,-706832,-478,5,571
389699000,-711614,-478,5,564
389709000,-716396,-478,5,569
389719000,-721179,-478,5,573
389729000,-725961,-478,5,573
389739000,-730745,-478,5,573
389749000,-735527,-478,5,562
389759000,-740310,-478,5,585
389769000,-745093,-478,5,588
389779000,-749877,-478,5,586
389789000,-754663,-478,5,577
389799000,-759446,-478,5,586
389809000,-764229,-478,5,591
389819000,-769014,-478,5,588
389829000,-773799,-478,5,587
389839000,-778584,-478,5,579
389849000,-783367,-478,5,583
389859000,-788149,-478,5,580
389869000,-792929,-478,5,576
389879000,-797709,-478,5,595
389889000,-802488,-478,5,591
389899000,-807268,-478,5,599
389909000,-812049,-478,5,585
389919000,-816829,-478,5,587
389929000,-821610,-478,5,615
389939000,-826391,-478,5,557
389949000,-831172,-478,5,558
389959000,-835952,-478,5,561
389969000,-840734,-478,5,547
389979000,-845516,-478,5,554
389989000,-850297,-478,5,552
389999000,-855078,-478,5,544
390009000,-859859,-478,5,563
390019000,-864639,-478,5,599
390029000,-869419,-478,5,600
390039000,-874198,-478,6,609
390049000,-878977,-478,6,599
390059000,-883757,-478,6,636
390069000,-888537,-478,6,597
390079000,-893315,-478,7,592
390089000,-898095,-478,7,621
390099000,-902874,-478,7,590
390109000,-907654,-478,7,587
390119000,-912434,-478,8,607
390129000,-917216,-478,8,588
390139000,-921995,-478,8,591
390149000,-926775,-478,8,612
390159000,-931554,-478,8,601
390169000,-936334,-478,8,595
390179000,-941113,-478,8,590
390189000,-945893,-478,8,586
390199000,-950672,-478,8,589
390209000,-955452,-478,8,592
390219000,-960231,-478,8,567
390229000,-965010,-478,7,569
390239000,-969790,-478,7,572
390249000,-974569,-478,7,577
390259000,-979348,-478,7,593
390269000,-984128,-478,7,595
390279000,-988908,-478,7,628
390289000,-993688,-478,7,593
390299000,-998466,-478,7,598
390309000,-3244,-478,7,596
390319000,-8024,-478,7,645
390329000,-12804,-478,7,664
390339000,-17585,-478,7,637
390349000,-22364,-478,7,634
390359000,-27142,-478,7,616
390369000,-31920,-478,7,562
390379000,-36699,-478,6,548
390389000,-41477,-478,6,549
390399000,-46255,-478,6,545
390409000,-51032,-478,6,542
390419000,-55809,-478,6,533
390429000,-60587,-478,6,524
390439000,-65363,-478,6,542
390449000,-70141,-478,6,540
390459000,-74920,-478,6,543
390469000,-79699,-478,6,544
390479000,-84477,-478,6,544
390489000,-89254,-478,6,548
390499000,-94032,-478,6,545
390509000,-98810,-478,6,543
390519000,-103586,-478,6,542
390529000,-108364,-478,6,546
390539000,-113140,-478,6,558
390549000,-117917,-478,6,559
390559000,-122693,-478,6,553
390569000,-127469,-478,6,555
390579000,-132247,-478,6,553
390589000,-137024,-478,6,597
390599000,-141801,-478,6,593
390609000,-146579,-478,6,600
390619000,-151357,-478,6,606
390629000,-156135,-478,6,609
390639000,-160914,-478,6,620
390649000,-165693,-478,6,614
390659000,-170470,-478,7,664
390669000,-175247,-478,7,705
390679000,-180025,-478,7,681
390689000,-184801,-478,7,619
390699000,-189575,-477,7,639
390709000,-194350,-477,7,639
390719000,-199126,-478,7,643
390729000,-203900,-478,7,655
390739000,-208674,-478,7,647
390749000,-213449,-478,7,650
390759000,-218225,-477,7,646
390769000,-223000,-477,7,638
390779000,-227774,-477,7,645
390789000,-232549,-477,7,646
390799000,-237324,-478,7,646
390809000,-242099,-477,7,642
390819000,-246875,-477,6,651
390829000,-251650,-477,6,663
390839000,-256424,-478,6,665
390849000,-261197,-477,6,745
390859000,-265969,-477,6,722
390869000,-270742,-477,6,685
390879000,-275516,-477,6,695
390889000,-280293,-477,6,696
390899000,-285069,-477,6,685
390909000,-289845,-477,6,686
390919000,-294618,-477,7,724
390929000,-299390,-477,7,744
390939000,-304164,-477,8,753
390949000,-308939,-477,8,750
390959000,-313713,-477,8,751
390969000,-318486,-477,7,658
390979000,-323258,-477,6,662
390989000,-328029,-477,5,673
390999000,-332799,-477,5,669
391009000,-337572,-477,5,651
391019000,-342345,-477,6,669
391029000,-347118,-477,6,650
391039000,-351891,-477,6,669
391049000,-356664,-477,6,669
391059000,-361437,-477,6,664
391069000,-366209,-477,6,675
391079000,-370979,-477,6,658
391089000,-375748,-477,6,666
391099000,-380517,-477,6,675
391109000,-385286,-477,6,670
391119000,-390055,-477,5,670
391129000,-394823,-477,5,665
391139000,-399591,-477,5,652
391149000,-404360,-477,5,634
391159000,-409129,-477,5,641
391169000,-413898,-477,6,658
391179000,-418668,-477,6,654
391189000,-423438,-477,6,648
391199000,-428207,-477,6,667
391209000,-432977,-477,6,647
391219000,-437747,-477,6,646
391229000,-442518,-477,7,647
391239000,-447289,-477,7,655
391249000,-452059,-477,7,670
391259000,-456829,-477,8,647
391269000,-461599,-477,8,656
391279000,-466368,-477,8,652
391289000,-471137,-477,8,654
391299000,-475905,-477,9,694
391309000,-480674,-477,9,680
391319000,-485443,-477,9,680
391329000,-490213,-477,10,769
391339000,-494981,-477,10,677
391349000,-499749,-477,10,678
391359000,-504518,-477,11,810
391369000,-509288,-477,11,810
391379000,-514057,-477,11,810
391389000,-518826,-477,12,825
391399000,-523595,-477,12,745
391409000,-528362,-477,12,735
391419000,-533130,-477,12,863
391429000,-537898,-477,12,737
391439000,-542667,-477,11,851
391449000,-547436,-477,11,802
391459000,-552203,-477,11,732
391469000,-556970,-477,11,725
391479000,-561739,-477,11,720
391489000,-566508,-477,11,751
391499000,-571276,-477,11,790
391509000,-576045,-477,11,786
391519000,-580813,-477,11,702
391529000,-585580,-477,10,694
391539000,-590346,-477,10,696
391549000,-595111,-477,10,696
391559000,-599877,-477,10,693
391569000,-604642,-477,10,689
391579000,-609408,-477,10,669
391589000,-614174,-477,10,667
391599000,-618939,-477,9,676
391609000,-623705,-477,9,690
391619000,-628470,-477,10,687
391629000,-633236,-477,10,685
391639000,-638003,-477,10,675
391649000,-642769,-477,10,687
391659000,-647535,-477,10,681
391669000,-652301,-477,10,681
391679000,-657066,-477,10,701
391689000,-661833,-477,10,707
391699000,-666599,-477,11,710
391709000,-671364,-476,11,712
391719000,-676129,-476,11,718
391729000,-680893,-476,11,729
391739000,-685658,-477,11,735
391749000,-690422,-477,11,735
391759000,-695186,-476,12,741
391769000,-699950,-476,12,748
391779000,-704713,-476,12,760
391789000,-709476,-476,12,788
391799000,-714239,-476,12,821
391809000,-719001,-476,12,818
391819000,-723764,-476,12,814
391829000,-728527,-476,13,841
391839000,-733291,-476,13,836
391849000,-738055,-476,13,812
391859000,-742818,-476,13,814
391869000,-747581,-476,14,823
391879000,-752344,-476,14,818
391889000,-757108,-476,14,803
391899000,-761869,-476,14,763
391909000,-766631,-476,13,772
391919000,-771392,-476,13,774
391929000,-776152,-476,13,782
391939000,-780912,-476,12,773
391949000,-785673,-476,12,758
391959000,-790436,-476,12,763
391969000,-795198,-476,12,756
391979000,-799960,-476,12,758
391989000,-804721,-476,12,757
391999000,-809484,-476,12,741
392009000,-814245,-476,12,749
392019000,-819007,-476,12,727
392029000,-823769,-476,12,661
392039000,-828530,-476,11,697
392049000,-833292,-476,11,740
392059000,-838053,-476,11,748
392069000,-842813,-476,11,736
392079000,-847573,-476,11,746
392089000,-852332,-476,11,739
392099000,-857090,-476,12,739
392109000,-861850,-476,12,673
392119000,-866609,-476,12,658
392129000,-871369,-476,11,656
392139000,-876128,-476,11,676
392149000,-880887,-476,11,733
392159000,-885647,-476,11,744
392169000,-890405,-476,12,741
392179000,-895162,-476,12,747
392189000,-899920,-476,12,753
392199000,-904677,-476,12,754
392209000,-909435,-476,12,758
392219000,-914194,-476,12,763
392229000,-918952,-476,12,759
392239000,-923710,-476,12,767
392249000,-928468,-476,12,762
392259000,-933225,-476,12,749
392269000,-937984,-476,12,752
392279000,-942742,-476,12,753
392289000,-947500,-476,12,757
392299000,-952257,-476,12,758
392309000,-957014,-476,12,741
392319000,-961771,-476,12,730
392329000,-966528,-476,12,713
392339000,-971284,-476,12,729
392349000,-976041,-476,12,728
392359000,-980797,-476,12,727
392369000,-985554,-476,12,730
392379000,-990312,-476,12,724
392389000,-995071,-476,12,722
392399000,-999828,-476,12,736
392409000,-4586,-476,12,744
392419000,-9343,-476,12,684
392429000,-14100,-476,12,744
392439000,-18858,-476,12,695
392449000,-23615,-476,12,698
392459000,-28372,-476,12,740
392469000,-33131,-476,12,753
392479000,-37889,-476,12,758
392489000,-42645,-476,12,752
392499000,-47401,-475,12,777
392509000,-52156,-476,12,785
392519000,-56912,-476,12,775
392529000,-61669,-476,12,756
392539000,-66425,-475,12,778
392549000,-71179,-475,12,778
392559000,-75933,-475,12,774
392569000,-80687,-475,12,753
392579000,-85440,-475,12,751
392589000,-90194,-475,12,746
392599000,-94948,-475,12,741
392609000,-99701,-475,12,745
392619000,-104455,-475,12,749
392629000,-109209,-475,12,747
392639000,-113961,-475,12,758
392649000,-118715,-475,12,795
392659000,-123477,-475,11,698
392669000,-128233,-475,11,691
392679000,-132987,-475,10,680
392689000,-137741,-475,10,678
392699000,-142495,-475,10,682
392709000,-147249,-475,10,678
392719000,-152002,-475,10,679
392729000,-156755,-475,10,686
392739000,-161508,-475,10,680
392749000,-166261,-475,10,675
392759000,-171012,-475,10,678
392769000,-175764,-475,10,688
392779000,-180514,-475,10,697
392789000,-185265,-475,10,692
392799000,-190015,-475,10,690
392809000,-194767,-475,10,696
392819000,-199518,-475,10,702
392829000,-204269,-475,10,692
392839000,-209020,-475,10,695
392849000,-213772,-475,10,688
392859000,-218523,-475,10,690
392869000,-223275,-475,10,698
392879000,-228027,-475,10,689
392889000,-232779,-475,10,685
392899000,-237529,-475,10,678
392909000,-242279,-475,10,665
392919000,-247029,-475,9,661
392929000,-251780,-475,9,664
392939000,-256529,-475,9,666
392949000,-261278,-475,9,667
392959000,-266026,-475,9,663
392969000,-270772,-475,9,664
392979000,-275521,-475,9,664
392989000,-280270,-475,9,673
392999000,-285020,-475,9,690
393009000,-289770,-475,9,680
393019000,-294519,-475,9,678
393029000,-299268,-475,9,680
393039000,-304016,-475,9,684
393049000,-308766,-475,9,686
393059000,-313515,-475,10,689
393069000,-318263,-475,10,699
393079000,-323012,-475,10,707
393089000,-327761,-475,10,717
393099000,-332510,-475,10,711
393109000,-337260,-475,10,730
393119000,-342011,-475,10,733
393129000,-346762,-475,10,742
393139000,-351512,-475,10,751
393149000,-356262,-475,10,762
393159000,-361013,-475,10,783
393169000,-365764,-475,11,768
393179000,-370514,-475,11,761
393189000,-375265,-475,11,763
393199000,-380014,-475,11,763
393209000,-384762,-475,11,764
393219000,-389510,-475,10,747
393229000,-394257,-475,10,760
393239000,-399004,-475,10,778
393249000,-403751,-475,11,785
393259000,-408496,-474,11,790
393269000,-413242,-474,11,784
393279000,-417986,-474,11,778
393289000,-422731,-475,10,756
393299000,-427478,-475,10,766
393309000,-432223,-475,10,770
393319000,-436969,-475,10,771
393329000,-441712,-474,10,763
393339000,-446455,-474,10,758
393349000,-451198,-474,10,748
393359000,-455942,-475,10,767
393369000,-460687,-475,10,766
393379000,-465434,-475,10,768
393389000,-470182,-475,10,776
393399000,-474929,-475,10,786
393409000,-479676,-475,10,778
393419000,-484420,-474,10,790
393429000,-489164,-474,10,786
393439000,-493909,-475,10,807
393449000,-498654,-475,11,807
393459000,-503399,-475,11,815
393469000,-508144,-474,11,819
393479000,-512891,-474,11,821
393489000,-517638,-475,11,806
393499000,-522383,-474,11,828
393509000,-527129,-474,11,817
393519000,-531873,-474,11,808
393529000,-536618,-474,11,814
393539000,-541362,-474,11,850
393549000,-546107,-474,11,856
393559000,-550851,-475,11,858
393569000,-555595,-474,11,895
393579000,-560338,-474,11,872
393589000,-565080,-474,11,861
393599000,-569824,-474,11,818
393609000,-574566,-474,11,682
393619000,-579307,-474,11,662
393629000,-584047,-474,11,671
393639000,-588789,-474,10,662
393649000,-593528,-474,10,655
393659000,-598267,-474,10,654
393669000,-603007,-474,10,644
393679000,-607747,-474,10,623
393689000,-612485,-474,9,634
393699000,-617225,-474,9,632
393709000,-621965,-474,9,627
393719000,-626705,-474,9,646
393729000,-631446,-474,9,653
393739000,-636188,-474,9,647
393749000,-640929,-474,9,645
393759000,-645670,-474,9,636
393769000,-650410,-474,9,628
393779000,-655151,-474,9,638
393789000,-659891,-474,9,627
393799000,-664631,-474,9,631
393809000,-669373,-474,9,644
393819000,-674115,-474,9,748
393829000,-678857,-474,9,755
393839000,-683599,-474,10,785
393849000,-688339,-474,10,815
393859000,-693077,-474,10,831
393869000,-697813,-474,10,825
393879000,-702551,-474,11,818
393889000,-707289,-474,11,818
393899000,-712030,-474,11,810
393909000,-716772,-474,11,805
393919000,-721513,-474,11,806
393929000,-726253,-474,11,806
393939000,-730993,-474,11,806
393949000,-735733,-474,11,806
393959000,-740474,-474,11,809
393969000,-745215,-474,11,809
393979000,-749957,-474,11,831
393989000,-754700,-474,11,967
393999000,-759442,-474,11,941
394009000,-764183,-474,11,801
394019000,-768925,-474,11,948
394029000,-773664,-474,11,797
394039000,-778405,-474,11,924
394049000,-783146,-474,11,976
394059000,-787886,-474,12,992
394069000,-792627,-474,12,997
394079000,-797367,-474,12,982
394089000,-802106,-474,12,975
394099000,-806844,-474,12,975
394109000,-811580,-474,12,836
394119000,-816313,-474,11,700
394129000,-821046,-474,11,701
394139000,-825782,-474,11,791
394149000,-830519,-474,11,813
394159000,-835257,-474,11,905
394169000,-839994,-474,11,908
394179000,-844731,-474,11,901
394189000,-849468,-474,11,851
394199000,-854204,-474,11,871
394209000,-858940,-474,11,917
394219000,-863676,-474,11,913
394229000,-868412,-474,11,913
394239000,-873149,-474,12,908
394249000,-877882,-473,12,906
394259000,-882617,-474,11,854
394269000,-887351,-474,11,841
394279000,-892085,-473,11,885
394289000,-896818,-474,11,944
394299000,-901552,-474,11,886
394309000,-906287,-473,11,895
394319000,-911020,-473,11,885
394329000,-915755,-474,11,838
394339000,-920488,-473,11,815
394349000,-925221,-473,11,807
394359000,-929955,-473,10,814
394369000,-934689,-473,10,828
394379000,-939423,-473,10,830
394389000,-944157,-474,10,827
394399000,-948893,-474,9,774
394409000,-953626,-473,9,811
394419000,-958358,-473,9,807
394429000,-963091,-474,9,821
394439000,-967822,-473,9,789
394449000,-972553,-473,9,829
394459000,-977284,-473,10,848
394469000,-982015,-473,10,806
394479000,-986747,-473,10,805
394489000,-991479,-473,10,802
394499000,-996211,-473,10,811
394509000,-943,-473,10,836
394519000,-5675,-473,10,848
394529000,-10407,-473,10,847
394539000,-15140,-473,10,848
394549000,-19874,-473,10,841
394559000,-24608,-473,10,855
394569000,-29343,-473,10,855
394579000,-34078,-473,10,833
394589000,-38814,-473,10,826
394599000,-43549,-473,10,814
394609000,-48282,-473,10,818
394619000,-53014,-473,10,824
394629000,-57747,-473,9,795
394639000,-62476,-473,9,787
394649000,-67205,-473,9,831
394659000,-71935,-473,9,855
394669000,-76664,-473,10,912
394679000,-81394,-473,10,856
394689000,-86124,-473,10,872
394699000,-90855,-473,10,858
394709000,-95584,-473,10,875
394719000,-100315,-473,10,846
394729000,-105045,-473,10,858
394739000,-109773,-473,10,823
394749000,-114502,-473,10,825
394759000,-119231,-473,10,818
394769000,-123960,-473,10,827
394779000,-128688,-473,10,813
394789000,-133419,-473,10,822
394799000,-138148,-473,10,826
394809000,-142877,-473,10,820
394819000,-147605,-473,10,827
394829000,-152334,-473,10,815
394839000,-157063,-473,10,805
394849000,-161792,-473,10,792
394859000,-166520,-473,10,814
394869000,-171249,-473,10,812
394879000,-175979,-473,10,779
394889000,-180708,-473,10,804
394899000,-185437,-473,9,784
394909000,-190166,-473,9,820
394919000,-194896,-473,9,827
394929000,-199624,-473,9,833
394939000,-204351,-473,9,817
394949000,-209078,-473,9,808
394959000,-213807,-473,9,811
394969000,-218534,-473,9,805
394979000,-223262,-473,9,807
394989000,-227989,-473,9,823
394999000,-232717,-473,10,857
395009000,-237444,-473,10,846
395019000,-242172,-473,10,885
395029000,-246899,-473,10,868
395039000,-251628,-473,10,948
395049000,-256355,-473,10,896
395059000,-261082,-473,10,907
395069000,-265813,-473,11,925
395079000,-270540,-473,11,985
395089000,-275269,-473,11,955
395099000,-279998,-473,11,911
395109000,-284727,-473,11,960
395119000,-289455,-473,11,976
395129000,-294181,-473,11,988
395139000,-298902,-473,11,981
395149000,-303622,-473,11,973
395159000,-308344,-473,11,1029
395169000,-313068,-473,12,1086
395179000,-317794,-473,12,1018
395189000,-322517,-472,12,965
395199000,-327236,-472,11,952
395209000,-331958,-473,11,973
395219000,-336681,-472,12,929
395229000,-341401,-472,12,925
395239000,-346121,-472,12,893
395249000,-350844,-472,12,890
395259000,-355568,-472,12,876
395269000,-360295,-472,11,837
395279000,-365024,-472,10,863
395289000,-369752,-472,10,863
395299000,-374478,-472,10,835
395309000,-379204,-472,10,819
395319000,-383930,-472,9,837
395329000,-388653,-472,9,849
395339000,-393375,-472,9,791
395349000,-398095,-472,9,814
395359000,-402815,-472,9,799
395369000,-407535,-472,9,780
395379000,-412253,-472,9,763
395389000,-416972,-472,9,785
395399000,-421692,-472,10,808
395409000,-426411,-472,10,823
395419000,-431132,-472,10,813
395429000,-435846,-472,10,819
395439000,-440564,-472,10,824
395449000,-445285,-472,11,789
395459000,-450006,-472,11,812
395469000,-454725,-472,11,786
395479000,-459445,-472,11,789
395489000,-464168,-472,11,839
395499000,-468891,-472,11,843
395509000,-473613,-472,11,839
395519000,-478333,-472,12,852
395529000,-483053,-472,12,843
395539000,-487775,-472,12,837
395549000,-492498,-472,12,780
395559000,-497221,-472,12,785
