iTOW,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid,tAcc
388689000,388689,228379,1377,18,True,True,True,10
388699000,388699,233163,1377,18,True,True,True,10
388709000,388709,237947,1377,18,True,True,True,10
388719000,388719,242732,1377,18,True,True,True,9
388729000,388729,247517,1377,18,True,True,True,9
388739000,388739,252302,1377,18,True,True,True,9
388749000,388749,257086,1377,18,True,True,True,9
388759000,388759,261871,1377,18,True,True,True,9
388769000,388769,266655,1377,18,True,True,True,9
388779000,388779,271437,1377,18,True,True,True,9
388789000,388789,276221,1377,18,True,True,True,9
388799000,388799,281005,1377,18,True,True,True,9
388809000,388809,285788,1377,18,True,True,True,9
388819000,388819,290571,1377,18,True,True,True,9
388829000,388829,295355,1377,18,True,True,True,9
388839000,388839,300139,1377,18,True,True,True,9
388849000,388849,304924,1377,18,True,True,True,8
388859000,388859,309710,1377,18,True,True,True,8
388869000,388869,314495,1377,18,True,True,True,8
388879000,388879,319280,1377,18,True,True,True,8
388889000,388889,324065,1377,18,True,True,True,8
388899000,388899,328849,1377,18,True,True,True,8
388909000,388909,333633,1377,18,True,True,True,8
388919000,388919,338416,1377,18,True,True,True,8
388929000,388929,343197,1377,18,True,True,True,8
388939000,388939,347979,1377,18,True,True,True,8
388949000,388949,352760,1377,18,True,True,True,7
388959000,388959,357543,1377,18,True,True,True,7
388969000,388969,362327,1377,18,True,True,True,7
388979000,388979,367112,1377,18,True,True,True,7
388989000,388989,371898,1377,18,True,True,True,8
388999000,388999,376684,1377,18,True,True,True,8
389009000,389009,381470,1377,18,True,True,True,8
389019000,389019,386257,1377,18,True,True,True,8
389029000,389029,391044,1377,18,True,True,True,8
389039000,389039,395831,1377,18,True,True,True,9
389049000,389049,400618,1377,18,True,True,True,9
389059000,389059,405404,1377,18,True,True,True,9
389069000,389069,410192,1377,18,True,True,True,9
389079000,389079,414982,1377,18,True,True,True,9
389089000,389089,419770,1377,18,True,True,True,9
389099000,389099,424555,1377,18,True,True,True,9
389109000,389109,429341,1377,18,True,True,True,9
389119000,389119,434126,1377,18,True,True,True,9
389129000,389129,438911,1377,18,True,True,True,9
389139000,389139,443699,1377,18,True,True,True,9
389149000,389149,448486,1377,18,True,True,True,9
389159000,389159,453267,1377,18,True,True,True,8
389169000,389169,458050,1377,18,True,True,True,7
389179000,389179,462833,1377,18,True,True,True,7
389189000,389189,467616,1377,18,True,True,True,7
389199000,389199,472400,1377,18,True,True,True,7
389209000,389209,477185,1377,18,True,True,True,7
389219000,389219,481971,1377,18,True,True,True,7
389229000,389229,486757,1377,18,True,True,True,7
389239000,389239,491542,1377,18,True,True,True,7
389249000,389249,496326,1377,18,True,True,True,7
389259000,389259,-498890,1377,18,True,True,True,7
389269000,389269,-494107,1377,18,True,True,True,7
389279000,389279,-489324,1377,18,True,True,True,7
389289000,389289,-484541,1377,18,True,True,True,7
389299000,389299,-479758,1377,18,True,True,True,7
389309000,389309,-474973,1377,18,True,True,True,6
389319000,389319,-470188,1377,18,True,True,True,6
389329000,389329,-465402,1377,18,True,True,True,7
389339000,389339,-460616,1377,18,True,True,True,7
389349000,389349,-455828,1377,18,True,True,True,7
389359000,389359,-451040,1377,18,True,True,True,6
389369000,389369,-446255,1377,18,True,True,True,6
389379000,389379,-441471,1377,18,True,True,True,6
389389000,389389,-436687,1377,18,True,True,True,6
389399000,389399,-431904,1377,18,True,True,True,6
