iTOW,fTOW,week,leapS,towValid,weekValid,leapSValid,tAcc
388529000,151876,2401,18,True,True,True,7
388539000,156655,2401,18,True,True,True,7
388549000,161435,2401,18,True,True,True,7
388559000,166215,2401,18,True,True,True,7
388569000,170995,2401,18,True,True,True,7
388579000,175777,2401,18,True,True,True,7
388589000,180560,2401,18,True,True,True,7
388599000,185342,2401,18,True,True,True,7
388609000,190126,2401,18,True,True,True,8
388619000,194908,2401,18,True,True,True,8
388629000,199688,2401,18,True,True,True,8
388639000,204470,2401,18,True,True,True,8
388649000,209254,2401,18,True,True,True,9
388659000,214036,2401,18,True,True,True,9
388669000,218819,2401,18,True,True,True,9
388679000,223604,2401,18,True,True,True,9
388689000,228387,2401,18,True,True,True,9
388699000,233171,2401,18,True,True,True,9
388709000,237955,2401,18,True,True,True,9
388719000,242740,2401,18,True,True,True,9
388729000,247525,2401,18,True,True,True,9
388739000,252310,2401,18,True,True,True,9
388749000,257094,2401,18,True,True,True,9
388759000,261879,2401,18,True,True,True,9
388769000,266663,2401,18,True,True,True,9
388779000,271445,2401,18,True,True,True,8
388789000,276229,2401,18,True,True,True,8
388799000,281013,2401,18,True,True,True,8
388809000,285796,2401,18,True,True,True,8
388819000,290579,2401,18,True,True,True,8
388829000,295362,2401,18,True,True,True,8
388839000,300147,2401,18,True,True,True,8
388849000,304932,2401,18,True,True,True,8
388859000,309717,2401,18,True,True,True,8
388869000,314503,2401,18,True,True,True,8
388879000,319288,2401,18,True,True,True,8
388889000,324073,2401,18,True,True,True,8
388899000,328857,2401,18,True,True,True,8
388909000,333640,2401,18,True,True,True,8
388919000,338423,2401,18,True,True,True,8
388929000,343205,2401,18,True,True,True,7
388939000,347987,2401,18,True,True,True,7
388949000,352768,2401,18,True,True,True,7
388959000,357551,2401,18,True,True,True,6
388969000,362334,2401,18,True,True,True,7
388979000,367120,2401,18,True,True,True,7
388989000,371905,2401,18,True,True,True,7
388999000,376692,2401,18,True,True,True,8
389009000,381478,2401,18,True,True,True,8
389019000,386264,2401,18,True,True,True,8
389029000,391051,2401,18,True,True,True,8
389039000,395838,2401,18,True,True,True,8
389049000,400625,2401,18,True,True,True,8
389059000,405411,2401,18,True,True,True,8
389069000,410200,2401,18,True,True,True,8
389079000,414989,2401,18,True,True,True,8
389089000,419777,2401,18,True,True,True,8
389099000,424562,2401,18,True,True,True,8
389109000,429348,2401,18,True,True,True,8
389119000,434133,2401,18,True,True,True,8
389129000,438919,2401,18,True,True,True,8
389139000,443706,2401,18,True,True,True,8
389149000,448493,2401,18,True,True,True,8
389159000,453274,2401,18,True,True,True,7
389169000,458057,2401,18,True,True,True,7
389179000,462840,2401,18,True,True,True,6
389189000,467623,2401,18,True,True,True,6
389199000,472407,2401,18,True,True,True,6
389209000,477192,2401,18,True,True,True,6
389219000,481978,2401,18,True,True,True,6
389229000,486764,2401,18,True,True,True,6
389239000,491549,2401,18,True,True,True,6
389249000,496333,2401,18,True,True,True,6
389259000,-498883,2401,18,True,True,True,6
389269000,-494100,2401,18,True,True,True,6
389279000,-489317,2401,18,True,True,True,7
389289000,-484534,2401,18,True,True,True,7
389299000,-479751,2401,18,True,True,True,6
389309000,-474966,2401,18,True,True,True,6
389319000,-470181,2401,18,True,True,True,6
389329000,-465395,2401,18,True,True,True,6
389339000,-460609,2401,18,True,True,True,6
389349000,-455821,2401,18,True,True,True,6
389359000,-451033,2401,18,True,True,True,6
389369000,-446249,2401,18,True,True,True,6
389379000,-441464,2401,18,True,True,True,6
389389000,-436680,2401,18,True,True,True,6
389399000,-431897,2401,18,True,True,True,6
389409000,-427115,2401,18,True,True,True,6
389419000,-422330,2401,18,True,True,True,6
389429000,-417544,2401,18,True,True,True,6
389439000,-412758,2401,18,True,True,True,6
389449000,-407973,2401,18,True,True,True,6
389459000,-403190,2401,18,True,True,True,6
389469000,-398407,2401,18,True,True,True,6
389479000,-393624,2401,18,True,True,True,6
389489000,-388839,2401,18,True,True,True,6
389499000,-384056,2401,18,True,True,True,6
389509000,-379271,2401,18,True,True,True,6
389519000,-374485,2401,18,True,True,True,6
389529000,-369700,2401,18,True,True,True,6
389539000,-364914,2401,18,True,True,True,6
389549000,-360129,2401,18,True,True,True,6
389559000,-355340,2401,18,True,True,True,5
389569000,-350552,2401,18,True,True,True,5
389579000,-345767,2401,18,True,True,True,5
389589000,-340984,2401,18,True,True,True,5
389599000,-336202,2401,18,True,True,True,5
389609000,-331419,2401,18,True,True,True,5
389619000,-326638,2401,18,True,True,True,5
389629000,-321857,2401,18,True,True,True,5
389639000,-317075,2401,18,True,True,True,5
389649000,-312292,2401,18,True,True,True,5
389659000,-307510,2401,18,True,True,True,5
389669000,-302730,2401,18,True,True,True,5
389679000,-297949,2401,18,True,True,True,5
389689000,-293168,2401,18,True,True,True,5
389699000,-288386,2401,18,True,True,True,5
389709000,-283604,2401,18,True,True,True,5
389719000,-278821,2401,18,True,True,True,5
389729000,-274039,2401,18,True,True,True,5
389739000,-269255,2401,18,True,True,True,5
389749000,-264472,2401,18,True,True,True,5
389759000,-259690,2401,18,True,True,True,5
389769000,-254907,2401,18,True,True,True,5
389779000,-250123,2401,18,True,True,True,5
389789000,-245337,2401,18,True,True,True,5
389799000,-240554,2401,18,True,True,True,5
389809000,-235770,2401,18,True,True,True,5
389819000,-230986,2401,18,True,True,True,5
389829000,-226201,2401,18,True,True,True,5
389839000,-221416,2401,18,True,True,True,5
389849000,-216633,2401,18,True,True,True,5
389859000,-211851,2401,18,True,True,True,5
389869000,-207071,2401,18,True,True,True,5
389879000,-202291,2401,18,True,True,True,5
389889000,-197511,2401,18,True,True,True,5
389899000,-192732,2401,18,True,True,True,5
389909000,-187951,2401,18,True,True,True,5
389919000,-183171,2401,18,True,True,True,5
389929000,-178391,2401,18,True,True,True,5
389939000,-173609,2401,18,True,True,True,5
389949000,-168828,2401,18,True,True,True,5
389959000,-164048,2401,18,True,True,True,5
389969000,-159266,2401,18,True,True,True,5
389979000,-154484,2401,18,True,True,True,5
389989000,-149703,2401,18,True,True,True,5
389999000,-144922,2401,18,True,True,True,5
390009000,-140141,2401,18,True,True,True,5
390019000,-135361,2401,18,True,True,True,5
390029000,-130581,2401,18,True,True,True,5
390039000,-125802,2401,18,True,True,True,6
390049000,-121023,2401,18,True,True,True,6
390059000,-116243,2401,18,True,True,True,6
390069000,-111463,2401,18,True,True,True,6
390079000,-106685,2401,18,True,True,True,7
390089000,-101905,2401,18,True,True,True,7
390099000,-97126,2401,18,True,True,True,7
390109000,-92346,2401,18,True,True,True,7
390119000,-87566,2401,18,True,True,True,8
390129000,-82785,2401,18,True,True,True,8
390139000,-78005,2401,18,True,True,True,8
390149000,-73225,2401,18,True,True,True,8
390159000,-68446,2401,18,True,True,True,8
390169000,-63666,2401,18,True,True,True,8
390179000,-58887,2401,18,True,True,True,8
390189000,-54107,2401,18,True,True,True,8
390199000,-49328,2401,18,True,True,True,8
390209000,-44548,2401,18,True,True,True,8
390219000,-39769,2401,18,True,True,True,8
390229000,-34990,2401,18,True,True,True,7
390239000,-30210,2401,18,True,True,True,7
390249000,-25431,2401,18,True,True,True,7
390259000,-20652,2401,18,True,True,True,7
390269000,-15871,2401,18,True,True,True,7
390279000,-11092,2401,18,True,True,True,7
390289000,-6312,2401,18,True,True,True,7
390299000,-1534,2401,18,True,True,True,7
390309000,3244,2401,18,True,True,True,7
390319000,8024,2401,18,True,True,True,7
390329000,12804,2401,18,True,True,True,7
390339000,17585,2401,18,True,True,True,7
390349000,22364,2401,18,True,True,True,7
390359000,27142,2401,18,True,True,True,7
390369000,31920,2401,18,True,True,True,7
390379000,36699,2401,18,True,True,True,6
390389000,41477,2401,18,True,True,True,6
390399000,46255,2401,18,True,True,True,6
390409000,51032,2401,18,True,True,True,6
390419000,55809,2401,18,True,True,True,6
390429000,60587,2401,18,True,True,True,6
390439000,65363,2401,18,True,True,True,6
390449000,70141,2401,18,True,True,True,6
390459000,74920,2401,18,True,True,True,6
390469000,79699,2401,18,True,True,True,6
390479000,84477,2401,18,True,True,True,6
390489000,89254,2401,18,True,True,True,6
390499000,94032,2401,18,True,True,True,6
390509000,98810,2401,18,True,True,True,6
390519000,103586,2401,18,True,True,True,6
390529000,108364,2401,18,True,True,True,6
390539000,113140,2401,18,True,True,True,6
390549000,117917,2401,18,True,True,True,6
390559000,122693,2401,18,True,True,True,6
390569000,127469,2401,18,True,True,True,6
390579000,132247,2401,18,True,True,True,6
390589000,137024,2401,18,True,True,True,6
390599000,141801,2401,18,True,True,True,6
390609000,146579,2401,18,True,True,True,6
390619000,151357,2401,18,True,True,True,6
390629000,156135,2401,18,True,True,True,6
390639000,160914,2401,18,True,True,True,6
390649000,165693,2401,18,True,True,True,6
390659000,170470,2401,18,True,True,True,7
390669000,175247,2401,18,True,True,True,7
390679000,180025,2401,18,True,True,True,7
390689000,184801,2401,18,True,True,True,7
390699000,189575,2401,18,True,True,True,7
390709000,194350,2401,18,True,True,True,7
390719000,199126,2401,18,True,True,True,7
390729000,203900,2401,18,True,True,True,7
390739000,208674,2401,18,True,True,True,7
390749000,213449,2401,18,True,True,True,7
390759000,218225,2401,18,True,True,True,7
390769000,223000,2401,18,True,True,True,7
390779000,227774,2401,18,True,True,True,7
390789000,232549,2401,18,True,True,True,7
390799000,237324,2401,18,True,True,True,7
390809000,242099,2401,18,True,True,True,7
390819000,246875,2401,18,True,True,True,6
390829000,251650,2401,18,True,True,True,6
390839000,256424,2401,18,True,True,True,6
390849000,261197,2401,18,True,True,True,6
390859000,265969,2401,18,True,True,True,6
390869000,270742,2401,18,True,True,True,6
390879000,275516,2401,18,True,True,True,6
390889000,280293,2401,18,True,True,True,6
390899000,285069,2401,18,True,True,True,6
390909000,289845,2401,18,True,True,True,6
390919000,294618,2401,18,True,True,True,7
390929000,299390,2401,18,True,True,True,7
390939000,304164,2401,18,True,True,True,8
390949000,308939,2401,18,True,True,True,8
390959000,313713,2401,18,True,True,True,8
390969000,318486,2401,18,True,True,True,7
390979000,323258,2401,18,True,True,True,6
390989000,328029,2401,18,True,True,True,5
390999000,332799,2401,18,True,True,True,5
391009000,337572,2401,18,True,True,True,5
391019000,342345,2401,18,True,True,True,6
391029000,347118,2401,18,True,True,True,6
391039000,351891,2401,18,True,True,True,6
391049000,356664,2401,18,True,True,True,6
391059000,361437,2401,18,True,True,True,6
391069000,366209,2401,18,True,True,True,6
391079000,370979,2401,18,True,True,True,6
391089000,375748,2401,18,True,True,True,6
391099000,380517,2401,18,True,True,True,6
391109000,385286,2401,18,True,True,True,6
391119000,390055,2401,18,True,True,True,5
391129000,394823,2401,18,True,True,True,5
391139000,399591,2401,18,True,True,True,5
391149000,404360,2401,18,True,True,True,5
391159000,409129,2401,18,True,True,True,5
391169000,413898,2401,18,True,True,True,6
391179000,418668,2401,18,True,True,True,6
391189000,423438,2401,18,True,True,True,6
391199000,428207,2401,18,True,True,True,6
391209000,432977,2401,18,True,True,True,6
391219000,437747,2401,18,True,True,True,6
391229000,442518,2401,18,True,True,True,7
391239000,447289,2401,18,True,True,True,7
391249000,452059,2401,18,True,True,True,7
391259000,456829,2401,18,True,True,True,8
391269000,461599,2401,18,True,True,True,8
391279000,466368,2401,18,True,True,True,8
391289000,471137,2401,18,True,True,True,8
391299000,475905,2401,18,True,True,True,9
391309000,480674,2401,18,True,True,True,9
391319000,485443,2401,18,True,True,True,9
391329000,490213,2401,18,True,True,True,10
391339000,494981,2401,18,True,True,True,10
391349000,499749,2401,18,True,True,True,10
391359000,-495482,2401,18,True,True,True,11
391369000,-490712,2401,18,True,True,True,11
391379000,-485943,2401,18,True,True,True,11
391389000,-481174,2401,18,True,True,True,12
391399000,-476405,2401,18,True,True,True,12
391409000,-471638,2401,18,True,True,True,12
391419000,-466870,2401,18,True,True,True,12
391429000,-462102,2401,18,True,True,True,12
391439000,-457333,2401,18,True,True,True,11
391449000,-452564,2401,18,True,True,True,11
391459000,-447797,2401,18,True,True,True,11
391469000,-443030,2401,18,True,True,True,11
391479000,-438261,2401,18,True,True,True,11
391489000,-433492,2401,18,True,True,True,11
391499000,-428724,2401,18,True,True,True,11
391509000,-423955,2401,18,True,True,True,11
391519000,-419187,2401,18,True,True,True,11
391529000,-414420,2401,18,True,True,True,10
391539000,-409654,2401,18,True,True,True,10
391549000,-404889,2401,18,True,True,True,10
391559000,-400123,2401,18,True,True,True,10
391569000,-395358,2401,18,True,True,True,10
391579000,-390592,2401,18,True,True,True,10
391589000,-385826,2401,18,True,True,True,10
391599000,-381061,2401,18,True,True,True,9
391609000,-376295,2401,18,True,True,True,9
391619000,-371530,2401,18,True,True,True,10
391629000,-366764,2401,18,True,True,True,10
391639000,-361997,2401,18,True,True,True,10
391649000,-357231,2401,18,True,True,True,10
391659000,-352465,2401,18,True,True,True,10
391669000,-347699,2401,18,True,True,True,10
391679000,-342934,2401,18,True,True,True,10
391689000,-338167,2401,18,True,True,True,10
391699000,-333401,2401,18,True,True,True,11
391709000,-328636,2401,18,True,True,True,11
391719000,-323871,2401,18,True,True,True,11
391729000,-319107,2401,18,True,True,True,11
391739000,-314342,2401,18,True,True,True,11
391749000,-309578,2401,18,True,True,True,11
391759000,-304814,2401,18,True,True,True,12
391769000,-300050,2401,18,True,True,True,12
391779000,-295287,2401,18,True,True,True,12
391789000,-290524,2401,18,True,True,True,12
391799000,-285761,2401,18,True,True,True,12
391809000,-280999,2401,18,True,True,True,12
391819000,-276236,2401,18,True,True,True,12
391829000,-271473,2401,18,True,True,True,13
391839000,-266709,2401,18,True,True,True,13
391849000,-261945,2401,18,True,True,True,13
391859000,-257182,2401,18,True,True,True,13
391869000,-252419,2401,18,True,True,True,14
391879000,-247656,2401,18,True,True,True,14
391889000,-242892,2401,18,True,True,True,14
391899000,-238131,2401,18,True,True,True,14
391909000,-233369,2401,18,True,True,True,13
391919000,-228608,2401,18,True,True,True,13
391929000,-223848,2401,18,True,True,True,13
391939000,-219088,2401,18,True,True,True,12
391949000,-214327,2401,18,True,True,True,12
391959000,-209564,2401,18,True,True,True,12
391969000,-204802,2401,18,True,True,True,12
391979000,-200040,2401,18,True,True,True,12
391989000,-195279,2401,18,True,True,True,12
391999000,-190516,2401,18,True,True,True,12
392009000,-185755,2401,18,True,True,True,12
392019000,-180993,2401,18,True,True,True,12
392029000,-176231,2401,18,True,True,True,12
392039000,-171470,2401,18,True,True,True,11
392049000,-166708,2401,18,True,True,True,11
392059000,-161947,2401,18,True,True,True,11
392069000,-157187,2401,18,True,True,True,11
392079000,-152427,2401,18,True,True,True,11
392089000,-147668,2401,18,True,True,True,11
392099000,-142910,2401,18,True,True,True,12
392109000,-138150,2401,18,True,True,True,12
392119000,-133391,2401,18,True,True,True,12
392129000,-128631,2401,18,True,True,True,11
392139000,-123872,2401,18,True,True,True,11
392149000,-119113,2401,18,True,True,True,11
392159000,-114353,2401,18,True,True,True,11
392169000,-109595,2401,18,True,True,True,12
392179000,-104838,2401,18,True,True,True,12
392189000,-100080,2401,18,True,True,True,12
392199000,-95323,2401,18,True,True,True,12
392209000,-90565,2401,18,True,True,True,12
392219000,-85806,2401,18,True,True,True,12
392229000,-81048,2401,18,True,True,True,12
392239000,-76290,2401,18,True,True,True,12
392249000,-71532,2401,18,True,True,True,12
392259000,-66775,2401,18,True,True,True,12
392269000,-62016,2401,18,True,True,True,12
392279000,-57258,2401,18,True,True,True,12
392289000,-52500,2401,18,True,True,True,12
392299000,-47743,2401,18,True,True,True,12
392309000,-42986,2401,18,True,True,True,12
392319000,-38229,2401,18,True,True,True,12
392329000,-33472,2401,18,True,True,True,12
392339000,-28716,2401,18,True,True,True,12
392349000,-23959,2401,18,True,True,True,12
392359000,-19203,2401,18,True,True,True,12
392369000,-14446,2401,18,True,True,True,12
392379000,-9688,2401,18,True,True,True,12
392389000,-4929,2401,18,True,True,True,12
392399000,-172,2401,18,True,True,True,12
392409000,4586,2401,18,True,True,True,12
392419000,9343,2401,18,True,True,True,12
392429000,14100,2401,18,True,True,True,12
392439000,18858,2401,18,True,True,True,12
392449000,23615,2401,18,True,True,True,12
392459000,28373,2401,18,True,True,True,12
392469000,33131,2401,18,True,True,True,12
392479000,37889,2401,18,True,True,True,12
392489000,42645,2401,18,True,True,True,12
392499000,47401,2401,18,True,True,True,12
392509000,52156,2401,18,True,True,True,12
392519000,56912,2401,18,True,True,True,12
392529000,61669,2401,18,True,True,True,12
392539000,66425,2401,18,True,True,True,12
392549000,71179,2401,18,True,True,True,12
392559000,75933,2401,18,True,True,True,12
392569000,80687,2401,18,True,True,True,12
392579000,85440,2401,18,True,True,True,12
392589000,90194,2401,18,True,True,True,12
392599000,94948,2401,18,True,True,True,12
392609000,99701,2401,18,True,True,True,12
392619000,104455,2401,18,True,True,True,12
392629000,109209,2401,18,True,True,True,12
392639000,113961,2401,18,True,True,True,12
392649000,118715,2401,18,True,True,True,12
392659000,123477,2401,18,True,True,True,11
392669000,128233,2401,18,True,True,True,11
392679000,132987,2401,18,True,True,True,10
392689000,137741,2401,18,True,True,True,10
392699000,142495,2401,18,True,True,True,10
392709000,147249,2401,18,True,True,True,10
392719000,152002,2401,18,True,True,True,10
392729000,156755,2401,18,True,True,True,10
392739000,161508,2401,18,True,True,True,10
392749000,166261,2401,18,True,True,True,10
392759000,171012,2401,18,True,True,True,10
392769000,175764,2401,18,True,True,True,10
392779000,180514,2401,18,True,True,True,10
392789000,185265,2401,18,True,True,True,10
392799000,190015,2401,18,True,True,True,10
