rcvTow,week,leapS,numMeas,leapSec,clkReset,prMes,cpMes,doMes,gnssId,svId,sigId,freqId,locktime,cno,prStdev,cpStdev,doStdev,prValid,cpValid,halfCyc,subHalfCyc
225534.994,2386,18,19,True,False,18867041.348512534,99146931.04186973,-1136.09375,0,24,0,0,3560,27,8,0,8,False,False,False,False
225534.994,2386,18,19,True,False,22657651.512418076,119066705.6254962,-1007.449951171875,0,27,0,0,64500,43,4,0,1,False,True,True,True
225534.994,2386,18,19,True,False,23036249.673332505,121056280.28175835,-2852.116943359375,2,7,0,0,64500,28,6,0,7,False,False,False,False
225534.994,2386,18,19,True,False,21226813.810662933,111547628.03000322,1153.543701171875,0,32,0,0,64500,36,5,0,3,False,False,False,False
225534.994,2386,18,19,True,False,22647906.11563628,119015530.87320203,939.4794921875,2,33,0,0,64500,46,3,0,1,True,False,True,True
225534.994,2386,18,19,True,False,21520617.43867729,113091611.2867773,-1593.8936767578125,2,26,0,0,64500,33,6,0,4,False,False,False,False
225534.994,2386,18,19,True,False,21424836.5966413,84075668.1511382,862.4177856445312,0,10,7,0,64500,43,3,0,1,False,True,True,True
225534.994,2386,18,19,True,False,18530345.27906562,72717030.38077137,-1282.1531982421875,0,18,7,0,64500,36,5,0,3,True,True,True,True
225534.994,2386,18,19,True,False,19037086.961427767,74705615.85212553,-52.044681549072266,0,23,7,0,64500,47,3,0,1,True,False,True,True
225534.994,2386,18,19,True,False,18867035.90502181,74038301.44632308,-848.3152465820312,0,24,7,0,0,27,7,0,15,False,True,True,False
225534.994,2386,18,19,True,False,22657647.236067716,88913459.39628056,-752.4365844726562,0,27,7,0,64500,40,3,0,2,True,True,True,True
225534.994,2386,18,19,True,False,23036246.403091896,90399172.99852069,-2129.907958984375,2,7,4,0,64500,25,7,0,8,False,False,False,False
225534.994,2386,18,19,True,False,22647895.848346967,88875207.65768754,701.6162719726562,2,33,4,0,64500,48,3,0,1,True,False,True,True
225534.994,2386,18,19,True,False,21226809.197244167,83298561.29342073,861.1924438476562,0,32,7,0,29860,31,6,0,6,True,False,True,False
225534.994,2386,18,19,True,False,24765224.49984879,97184059.9402662,-2637.041259765625,2,13,4,0,0,22,9,0,15,False,False,False,True
225534.994,2386,18,19,True,False,21520612.51024719,84451505.74823019,-1189.1248779296875,2,26,4,0,0,26,7,0,15,False,True,True,False
225535.994,2386,18,19,True,False,21424626.03163452,112587176.4833923,1154.77587890625,0,10,0,0,64500,47,3,0,1,False,True,True,True
225535.994,2386,18,19,True,False,18530691.89811525,97379438.11950514,-1718.017333984375,0,18,0,0,1920,27,8,0,7,False,False,False,False
225535.994,2386,18,19,True,False,19037106.33291448,100040690.68886876,-69.8486328125,0,23,0,0,64500,46,3,0,1,True,False,True,True
225535.994,2386,18,19,True,False,18867260.519129094,99148067.58035535,-1135.897705078125,0,24,0,0,4560,27,8,0,7,False,False,False,False
