iTOW,clkB,clkD,tAcc,fAcc
228687000,259718,554,20,808
228692000,262485,553,20,812
228697000,265253,554,20,857
228702000,268020,553,20,874
228707000,270787,554,20,878
228712000,273553,553,20,881
228717000,276319,553,20,869
228722000,279085,553,20,873
228727000,281850,553,21,931
228732000,284616,553,21,927
228737000,287381,553,21,868
228742000,290146,553,21,864
228747000,292911,553,21,937
228752000,295675,553,21,937
228757000,298440,553,21,933
228762000,301204,553,21,936
228767000,303969,553,21,933
228772000,306733,553,22,972
228777000,309498,553,22,987
228782000,312262,553,22,957
228787000,315026,553,22,929
228792000,317790,553,22,893
228797000,320555,553,22,890
228802000,323319,553,22,886
228807000,326083,553,22,835
228812000,328847,553,22,848
228817000,331612,553,22,892
228822000,334375,553,22,927
228827000,337139,553,22,858
228832000,339902,553,21,851
228837000,342665,553,21,866
228842000,345428,553,21,879
228847000,348190,553,21,890
228852000,350952,552,21,878
228857000,353715,552,21,822
228862000,356477,552,21,811
228867000,359239,552,21,880
228872000,362002,553,21,818
228877000,364765,552,21,815
228882000,367527,552,21,823
228887000,370289,552,21,826
228892000,373051,552,21,831
228897000,375812,552,21,834
228902000,378574,552,21,829
228907000,381335,552,21,830
228912000,384097,552,20,824
228917000,386858,552,20,802
228922000,389619,552,20,805
228927000,392380,552,20,843
228932000,395141,552,20,848
228937000,397901,552,20,849
228942000,400662,552,20,845
228947000,403423,552,20,840
228952000,406184,552,20,802
228957000,408944,552,20,802
228962000,411704,552,20,802
228967000,414465,552,20,848
228972000,417225,552,20,846
228977000,419985,552,20,852
228982000,422745,552,20,850
228987000,425505,552,20,849
228992000,428264,552,20,809
228997000,431024,552,20,856
229002000,433783,552,20,899
229007000,436542,552,20,887
229012000,439301,552,20,890
229017000,442060,552,20,904
229022000,444819,552,20,861
229027000,447578,552,20,850
229032000,450336,552,21,886
229037000,453094,552,21,902
229042000,455852,552,21,921
229047000,458610,552,21,921
229052000,461368,552,21,913
229057000,464125,552,21,992
229062000,466883,552,21,1004
229067000,469639,551,22,1001
229072000,472396,551,22,957
229077000,475152,551,22,949
229082000,477909,551,22,951
229087000,480665,551,22,956
229092000,483422,551,22,963
229097000,486178,551,23,961
229102000,488933,551,23,951
229107000,491689,551,23,956
229112000,494445,551,23,951
229117000,497201,551,23,944
229122000,499957,551,23,927
229127000,502713,551,23,936
229132000,505469,551,23,908
229137000,508224,551,23,905
229142000,510979,551,23,907
229147000,513734,551,23,904
229152000,516489,551,23,894
229157000,519243,551,23,898
229162000,521998,551,23,908
229167000,524753,551,23,901
229172000,527507,551,23,896
229177000,530260,551,23,890
229182000,533014,551,23,887
