G26,225189.0003423621,225188.992,225188.992,-342358,513,225188.92522588276,2394,22604789.591104824,30.42757603083108,184.68926741425307,-85435.6110026586,6.509330153257485,-2500934.7249789136,3.587155608343892,20189281.409514543,139965655.23123282,L1_L5,-2.5582838733680546,-5.4276545179768965,-1294.4261202817866
G26,225190.0003418491,225189.992,225189.992,-341845,513,225189.92522760943,2394,22604118.153631676,30.43514445750659,184.68809971837953,-85435.61263861934,6.5088127481474345,-2500780.9328869833,3.587155608343892,20188763.88914561,139962066.9157643,L1_L5,-2.435424955096096,-5.323210110405139,-1232.3740332702612
G26,225191.0003413361,225190.992,225190.992,-341332,513,225190.92522933596,2394,22603446.75533119,30.442713284715715,184.68693217744772,-85435.61427458008,6.508295202412328,-2500627.202032896,3.587155608343892,20188246.363331396,139958478.61986968,L1_L5,-2.2959462739527225,-5.204520186844004,-1161.8584581864832
G26,225192.0003408231,225191.992,225191.992,-340819,513,225191.9252310624,2394,22602775.396224603,30.450282512420618,184.68576479133233,-85435.6159105408,6.507777516062732,-2500473.2890806682,3.587155608343892,20187728.805246223,139954890.22160855,L1_L5,-2.4100307365879416,-5.302448546959458,-1220.0392575615508
G26,225193.0003403111,225192.992,225192.992,-340307,513,225192.92523278968,2394,22602104.076332543,30.457852140590184,184.68459755990716,-85435.61754650154,6.507259689108754,-2500319.435730337,3.587155608343892,20187210.91307415,139951301.8118033,L1_L5,-2.8378148674964905,-5.668539189553037,-1437.5395425118486
G26,225194.0003397981,225193.992,225193.992,-339794,513,225193.92523451586,2394,22601432.795677565,30.465422169171283,184.68343048304925,-85435.61918246228,6.506741721562008,-2500165.7666782583,3.587155608343892,20186693.198184293,139947713.54217628,L1_L5,-2.9432557546533644,-5.7592253935468305,-1491.4176615207737
G26,225195.0003392851,225194.992,225194.992,-339281,513,225194.92523624186,2394,22600761.554280307,30.472992598132798,184.68226356063207,-85435.62081842302,6.506223613432613,-2500012.0297555644,3.587155608343892,20186175.643744137,139944125.60984322,L1_L5,-2.9953754153102636,-5.804357923531408,-1518.2316168369473
G26,225196.0003387731,225195.992,225195.992,-338769,513,225195.92523796877,2394,22600090.352161303,30.480563427444544,184.68109679252882,-85435.62245438376,6.505705364730613,-2499858.189926596,3.587155608343892,20185658.144573573,139940537.9718457,L1_L5,-3.134410153143108,-5.923846393045387,-1589.2216207972976
G26,225197.0003382601,225196.992,225196.992,-338256,513,225196.92523969454,2394,22599419.1893432,30.48813465705286,184.67993017861673,-85435.62409034449,6.505186975467672,-2499704.6408049045,3.587155608343892,20185140.54414701,139936950.58936504,L1_L5,-3.123294652905315,-5.914939996051088,-1583.9301884066283
G26,225198.0003377471,225197.992,225197.992,-337743,513,225197.92524142016,2394,22598748.065846547,30.495706286926875,184.678763718769,-85435.62572630522,6.504668445653893,-2499550.8346253578,3.587155608343892,20184623.114916913,139933363.45065358,L1_L5,-3.237362136133015,-6.013142684053638,-1642.2739703512327
G26,225199.0003372351,225198.992,225198.992,-337231,513,225198.92524314666,2394,22598076.98169197,30.50327831703602,184.67759741285892,-85435.62736226596,6.504149775299358,-2499397.164138875,3.587155608343892,20184105.845177885,139929776.65793544,L1_L5,-3.0955877020023763,-5.892427839979152,-1570.555357720427
G26,225200.0003367221,225199.992,225199.992,-336718,513,225199.92524487202,2394,22597405.93690204,30.510850747326728,184.67643126076314,-85435.62899822669,6.503630964415729,-2499243.449530994,3.587155608343892,20183588.434990454,139926190.29554206,L1_L5,-3.1777478526346385,-5.963354957155034,-1612.69428836112
G26,225201.0003362091,225200.992,225200.992,-336205,513,225200.92524659727,2394,22596734.93149735,30.51842357776844,184.675265262355,-85435.63063418743,6.503112013013094,-2499089.930556567,3.587155608343892,20183071.150344536,139922604.27660885,L1_L5,-2.9781184219755232,-5.793037461210922,-1511.5059497643572
G26,225202.0003356961,225201.992,225201.992,-335692,513,225201.92524832237,2394,22596063.96549917,30.525996808322493,184.67409941750867,-85435.63227014817,6.5025929211021,-2498936.079986739,3.587155608343892,20182553.840738904,139919018.38993123,L1_L5,-3.1744507546536624,-5.961752680598632,-1611.7423503243604
G26,225203.0003351841,225202.992,225202.992,-335180,513,225202.92525004837,2394,22595393.038928065,30.533570438958513,184.67293372609709,-85435.63390610892,6.502073688692826,-2498782.6635905937,3.587155608343892,20182036.748416714,139915432.71108282,L1_L5,-2.7587531777098775,-5.606272157615902,-1400.545706522516
