iTOW,numSvs,gnssId,svId,cno,elev,azim,prRes,qualityInd,health,diffCorr,smoothed,orbitSource,ephAvail,almAvail,anoAvail,aopAvail,sbasCorrUsed,rtcmCorrUsed,slasCorrUsed,spartnCorrUsed,prCorrUsed,crCorrUsed,doCorrUsed,clasCorrUsed,lppCorrUsed,hasCorrUsed,svUse
384729000,19,2,21,0,23,4865,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384729000,19,2,26,19,25,4865,0,0,0,True,True,0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
384729000,19,2,27,25,42,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384729000,19,2,29,49,57,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384729000,19,2,30,23,21,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384729000,19,2,33,40,41,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384739000,19,0,1,39,15,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384739000,19,0,2,43,22,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384739000,19,0,10,17,58,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384739000,19,0,12,32,10,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384739000,19,0,23,25,16,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384739000,19,0,25,0,38,4865,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384739000,19,0,28,42,74,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384739000,19,0,31,35,47,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384739000,19,0,32,39,55,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384739000,19,2,7,24,30,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384739000,19,2,10,0,2,4865,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384739000,19,2,12,35,17,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384739000,19,2,19,38,29,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384739000,19,2,21,0,23,4865,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384739000,19,2,26,18,25,4865,0,0,0,True,True,0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
384739000,19,2,27,22,42,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384739000,19,2,29,50,57,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384739000,19,2,30,23,21,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384739000,19,2,33,41,41,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384749000,19,0,1,38,15,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384749000,19,0,2,43,22,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384749000,19,0,10,25,58,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384749000,19,0,12,33,10,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384749000,19,0,23,23,16,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384749000,19,0,25,0,38,4865,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384749000,19,0,28,43,74,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384749000,19,0,31,35,47,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384749000,19,0,32,39,55,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384749000,19,2,7,25,30,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384749000,19,2,10,0,2,4865,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384749000,19,2,12,35,17,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384749000,19,2,19,38,29,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384749000,19,2,21,0,23,4865,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384749000,19,2,26,0,25,4865,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384749000,19,2,27,23,42,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384749000,19,2,29,49,57,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384749000,19,2,30,22,21,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384749000,19,2,33,41,41,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384759000,20,0,1,38,15,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384759000,20,0,2,42,22,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384759000,20,0,5,0,165,5121,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384759000,20,0,10,19,58,5121,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384759000,20,0,12,31,9,5121,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384759000,20,0,23,20,16,5121,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384759000,20,0,25,0,38,5121,0,0,0,False,False,0,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False
384759000,20,0,28,42,74,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384759000,20,0,31,32,47,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384759000,20,0,32,39,55,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384759000,20,2,7,25,30,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384759000,20,2,10,0,2,5121,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384759000,20,2,12,35,17,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384759000,20,2,19,37,29,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384759000,20,2,21,0,23,5121,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384759000,20,2,26,0,25,5121,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384759000,20,2,27,24,42,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384759000,20,2,29,49,57,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384759000,20,2,30,21,21,5121,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384759000,20,2,33,40,41,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384769000,20,0,1,38,15,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384769000,20,0,2,42,22,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384769000,20,0,5,0,165,5121,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384769000,20,0,10,19,58,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384769000,20,0,12,29,9,5121,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384769000,20,0,23,15,16,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384769000,20,0,25,0,38,5121,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384769000,20,0,28,42,74,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384769000,20,0,31,33,47,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384769000,20,0,32,39,55,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384769000,20,2,7,25,30,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384769000,20,2,10,0,2,5121,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384769000,20,2,12,34,17,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384769000,20,2,19,37,29,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384769000,20,2,21,25,23,5121,0,0,0,True,True,0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
384769000,20,2,26,0,25,5121,0,0,0,False,False,0,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False
384769000,20,2,27,24,42,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384769000,20,2,29,49,57,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384769000,20,2,30,21,21,5121,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384769000,20,2,33,40,40,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384779000,20,0,1,37,15,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384779000,20,0,2,42,22,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384779000,20,0,5,0,165,5121,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384779000,20,0,10,25,58,5121,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384779000,20,0,12,27,9,5121,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
