iTOW,numSigs,gnssId,svId,freqId,prRes,cno,qualityInd,corrSource,ionoModel,health,prSmoothed,prUsed,crUsed,doUsed,prCorrUsed,crCorrUsed,doCorrUsed,authStatus,sigId
384709000,57,2,33,0,14592,0,1,0,0,0,False,False,False,False,False,False,False,False,8
384709000,57,2,33,0,14592,38,7,0,1,0,True,False,True,False,True,True,True,True,4
384719000,56,0,1,0,14336,38,7,0,1,0,True,False,True,False,True,True,True,True,0
384719000,56,0,1,0,14336,36,7,0,1,0,True,False,True,False,True,True,True,True,3
384719000,56,0,1,0,14336,37,7,0,0,0,True,False,False,True,True,False,False,True,7
384719000,56,0,2,0,14336,43,7,0,1,0,True,False,True,False,True,True,True,True,0
384719000,56,0,2,0,14336,0,1,0,0,0,True,False,True,False,True,False,True,False,4
384719000,56,0,2,0,14336,0,1,0,0,0,False,False,False,False,False,False,False,False,7
384719000,56,0,10,0,14336,29,6,0,0,0,True,False,True,False,True,False,True,False,0
384719000,56,0,10,0,14336,24,4,0,1,0,True,False,True,False,True,True,True,True,3
384719000,56,0,10,0,14336,0,1,0,0,0,True,False,False,True,True,False,False,True,7
384719000,56,0,12,0,14336,33,7,0,0,0,True,False,True,False,True,False,True,False,0
384719000,56,0,12,0,14336,13,4,0,0,0,True,False,True,False,True,False,True,False,3
384719000,56,0,12,0,14336,0,1,0,0,0,False,False,False,False,False,False,False,False,7
384719000,56,0,23,0,14336,25,4,0,0,0,True,False,True,False,True,False,True,False,0
384719000,56,0,23,0,14336,0,1,0,0,0,True,False,True,False,True,False,True,False,4
384719000,56,0,23,0,14336,21,4,0,0,0,False,False,False,False,False,False,False,False,7
384719000,56,0,25,0,14336,8,4,0,0,0,True,False,True,False,True,False,True,False,0
384719000,56,0,25,0,14336,21,4,0,1,0,True,False,True,False,True,False,True,False,3
384719000,56,0,25,0,14336,31,5,0,0,0,True,False,False,True,True,False,False,True,7
384719000,56,0,28,0,14336,42,7,0,1,0,True,False,True,False,True,True,True,True,0
384719000,56,0,28,0,14336,40,7,0,1,0,True,False,True,False,True,True,True,True,3
384719000,56,0,28,0,14336,43,7,0,0,0,True,False,False,True,True,False,False,True,7
384719000,56,0,31,0,14336,34,7,0,1,0,True,False,True,False,True,True,True,True,0
384719000,56,0,31,0,14336,15,4,0,1,0,True,False,True,False,True,True,True,True,3
384719000,56,0,31,0,14336,0,1,0,0,0,False,False,False,False,False,False,False,False,7
384719000,56,0,32,0,14336,40,7,0,1,0,True,False,True,False,True,True,True,True,0
384719000,56,0,32,0,14336,44,7,0,1,0,True,False,True,False,True,True,True,True,3
384719000,56,0,32,0,14336,43,7,0,0,0,True,False,False,True,True,False,False,True,7
384719000,56,2,7,0,14336,19,4,0,1,0,True,False,True,False,True,True,True,True,0
384719000,56,2,7,0,14336,20,4,0,0,0,True,False,True,False,True,False,True,False,4
384719000,56,2,10,0,14336,0,1,0,0,0,True,False,True,False,True,False,True,False,0
384719000,56,2,10,0,14336,0,1,0,0,0,False,False,False,False,False,False,False,False,8
384719000,56,2,10,0,14336,0,1,0,0,0,True,False,False,True,True,False,False,True,4
384719000,56,2,12,0,14336,35,7,0,1,0,True,False,True,False,True,True,True,True,0
384719000,56,2,12,0,14336,40,7,0,0,0,False,False,False,False,False,False,False,False,8
384719000,56,2,12,0,14336,36,7,0,1,0,True,False,True,False,True,True,True,True,4
384719000,56,2,19,0,14336,38,7,0,1,0,True,False,True,False,True,True,True,True,0
384719000,56,2,19,0,14336,36,7,0,0,0,False,False,False,False,False,False,False,False,8
384719000,56,2,19,0,14336,40,7,0,1,0,True,False,True,False,True,True,True,True,4
384719000,56,2,21,0,14336,0,1,0,0,0,True,False,True,False,True,False,True,False,0
384719000,56,2,21,0,14336,0,1,0,0,0,False,False,False,False,False,False,False,False,8
384719000,56,2,21,0,14336,13,4,0,0,0,True,False,False,True,True,False,False,True,4
384719000,56,2,26,0,14336,20,3,0,0,0,True,False,True,False,True,False,True,False,0
384719000,56,2,26,0,14336,0,1,0,0,0,False,False,False,False,False,False,False,False,8
384719000,56,2,26,0,14336,19,4,0,0,0,True,False,False,True,True,False,False,True,4
384719000,56,2,27,0,14336,27,4,0,1,0,True,False,True,False,True,True,True,True,0
384719000,56,2,27,0,14336,0,1,0,0,0,False,False,False,False,False,False,False,False,8
384719000,56,2,27,0,14336,23,4,0,1,0,True,False,True,False,True,True,True,True,4
384719000,56,2,29,0,14336,49,7,0,1,0,True,False,True,False,True,True,True,True,0
384719000,56,2,29,0,14336,51,7,0,0,0,False,False,False,False,False,False,False,False,8
384719000,56,2,29,0,14336,51,7,0,1,0,True,False,True,False,True,True,True,True,4
384719000,56,2,30,0,14336,21,4,0,0,0,True,False,True,False,True,False,True,False,0
384719000,56,2,30,0,14336,0,1,0,0,0,False,False,False,False,False,False,False,False,8
384719000,56,2,30,0,14336,17,4,0,0,0,True,False,False,True,True,False,False,True,4
384719000,56,2,33,0,14336,40,7,0,1,0,True,False,True,False,True,True,True,True,0
384719000,56,2,33,0,14336,0,1,0,0,0,False,False,False,False,False,False,False,False,8
384719000,56,2,33,0,14336,38,7,0,1,0,True,False,True,False,True,True,True,True,4
