rcvTow,week,leapS,numMeas,prMes,cpMes,doMes,gnssId,svId,freqId,locktime,cno,prStd,cpStd,doStd
391547.991,2383,18,27,18040315.320739802,73872086.41695492,314.4775695800781,0,29,0,5000,42,,,
391547.991,2383,18,27,21246273.166830365,86999941.42610498,1400.4151611328125,0,23,0,5080,38,,,
391547.991,2383,18,27,21439464.146313597,87791023.66766076,1817.464599609375,0,18,0,5080,48,,,
391547.991,2383,18,27,20964211.05491542,86978661.00637648,-3476.98486328125,6,255,2,5100,44,,,
391547.991,2383,18,27,16972448.361713316,70466734.51484089,666.7919921875,6,22,4,5080,43,,,
391547.991,2383,18,27,16771330.87112776,69827508.61355759,-1501.5711669921875,6,7,12,5120,43,,,
391547.991,2383,18,27,17438282.550178453,72629788.72080585,1529.85546875,6,8,13,5080,40,,,
391548.991,2383,18,27,,,,,,,,,,,
391548.991,2383,18,27,,,,,,,,,,,
391548.991,2383,18,27,,,,,,,,,,,
391548.991,2383,18,27,,,,,,,,,,,
391548.991,2383,18,27,,,,,,,,,,,
391548.991,2383,18,27,,,,,,,,,,,
391548.991,2383,18,27,,,,,,,,,,,
391548.991,2383,18,27,,,,,,,,,,,
391548.991,2383,18,27,,,,,,,,,,,
391548.991,2383,18,27,16972281.553476524,90599206.94025481,856.7675170898438,6,22,4,6140,48,,,
391548.991,2383,18,27,19142419.85888288,102399024.55747056,2928.476806640625,6,23,10,6080,49,,,
391548.991,2383,18,27,16771687.388848303,89780124.47011563,-1931.429443359375,6,7,12,6120,43,,,
391548.991,2383,18,27,17437904.05572349,93379190.12755232,1965.773193359375,6,8,13,6080,43,,,
391548.991,2383,18,27,20965041.054838363,111834149.51607727,-4470.6259765625,6,255,2,6100,43,,,
391548.991,2383,18,27,18040242.406889603,94802112.92631182,403.0029296875,0,29,0,920,46,,,
391548.991,2383,18,27,24070417.074372742,126490891.8714734,-2152.292236328125,2,30,0,4780,31,,,
391548.991,2383,18,27,18499718.32415254,97216675.26257105,-1915.3134765625,0,5,0,920,50,,,
391548.991,2383,18,27,25391956.161175087,102242885.90789948,-341.712158203125,2,27,0,6120,44,,,
391548.991,2383,18,27,24070412.17100116,96921576.15829206,-1649.1781005859375,2,30,0,4240,28,,,
391548.991,2383,18,27,18499717.890200526,75753253.3646079,-1492.4034423828125,0,5,0,6000,46,,,
391548.991,2383,18,27,18040237.665944643,73871772.17455171,313.7939453125,0,29,0,6000,42,,,
391548.991,2383,18,27,21245930.9528439,86998540.95275559,1400.6470947265625,0,23,0,6080,38,,,
391548.991,2383,18,27,21439020.370524265,87789205.9918661,1817.6832275390625,0,18,0,6080,48,,,
391548.991,2383,18,27,20965048.777118117,86982137.87491998,-3476.935546875,6,255,2,6100,44,,,
391548.991,2383,18,27,16972287.61135451,70466067.84984082,666.56787109375,6,22,4,6080,43,,,
391548.991,2383,18,27,16771692.426726164,69829010.5624233,-1502.3631591796875,6,7,12,6120,43,,,
391548.991,2383,18,27,17437916.479371108,72628259.37328337,1528.7655029296875,6,8,13,6080,40,,,
391549.991,2383,18,27,,,,,,,,,,,
391549.991,2383,18,27,,,,,,,,,,,
391549.991,2383,18,27,,,,,,,,,,,
391549.991,2383,18,27,,,,,,,,,,,
391549.991,2383,18,27,,,,,,,,,,,
391549.991,2383,18,27,,,,,,,,,,,
391549.991,2383,18,27,,,,,,,,,,,
391549.991,2383,18,27,,,,,,,,,,,
