rcvTow,week,leapS,numMeas,prMes,cpMes,doMes,gnssId,svId,freqId,locktime,cno,prStd,cpStd,doStd
84193.004,2384,18,10,23695134.007270023,97027570.06751992,-2475.0771484375,0,26,0,36000,34,,,
84194.004,2384,18,10,,,,,,,,,,,
84194.004,2384,18,10,,,,,,,,,,,
84194.004,2384,18,10,,,,,,,,,,,
84194.004,2384,18,10,,,,,,,,,,,
84194.004,2384,18,10,,,,,,,,,,,
84194.004,2384,18,10,,,,,,,,,,,
84194.004,2384,18,10,,,,,,,,,,,
84194.004,2384,18,10,,,,,,,,,,,
84194.004,2384,18,10,,,,,,,,,,,
84194.004,2384,18,10,23695738.646844573,97030045.32726736,-2476.023681640625,0,26,0,37000,34,,,
84195.004,2384,18,10,,,,,,,,,,,
84195.004,2384,18,10,,,,,,,,,,,
84195.004,2384,18,10,,,,,,,,,,,
84195.004,2384,18,10,,,,,,,,,,,
84195.004,2384,18,10,,,,,,,,,,,
84195.004,2384,18,10,,,,,,,,,,,
84195.004,2384,18,10,,,,,,,,,,,
84195.004,2384,18,10,,,,,,,,,,,
84195.004,2384,18,10,,,,,,,,,,,
84195.004,2384,18,10,23696343.270923328,97032520.61269139,-2475.40380859375,0,26,0,38000,34,,,
84196.004,2384,18,10,,,,,,,,,,,
84196.004,2384,18,10,,,,,,,,,,,
84196.004,2384,18,10,,,,,,,,,,,
84196.004,2384,18,10,,,,,,,,,,,
84196.004,2384,18,10,,,,,,,,,,,
84196.004,2384,18,10,,,,,,,,,,,
84196.004,2384,18,10,,,,,,,,,,,
84196.004,2384,18,10,,,,,,,,,,,
84196.004,2384,18,10,,,,,,,,,,,
84196.004,2384,18,10,23696947.975691892,97034995.978414,-2475.515869140625,0,26,0,39000,34,,,
84197.004,2384,18,10,,,,,,,,,,,
84197.004,2384,18,10,,,,,,,,,,,
84197.004,2384,18,10,,,,,,,,,,,
84197.004,2384,18,10,,,,,,,,,,,
84197.004,2384,18,10,,,,,,,,,,,
84197.004,2384,18,10,,,,,,,,,,,
84197.004,2384,18,10,,,,,,,,,,,
84197.004,2384,18,10,,,,,,,,,,,
84197.004,2384,18,10,,,,,,,,,,,
84197.004,2384,18,10,23697552.804566402,97037471.52924323,-2476.0546875,0,26,0,40000,34,,,
84198.004,2384,18,10,,,,,,,,,,,
84198.004,2384,18,10,,,,,,,,,,,
84198.004,2384,18,10,,,,,,,,,,,
84198.004,2384,18,10,,,,,,,,,,,
84198.004,2384,18,10,,,,,,,,,,,
84198.004,2384,18,10,,,,,,,,,,,
84198.004,2384,18,10,,,,,,,,,,,
84198.004,2384,18,10,,,,,,,,,,,
84198.004,2384,18,10,,,,,,,,,,,
84198.004,2384,18,10,23698157.429761972,97039947.24254054,-2476.18115234375,0,26,0,41000,33,,,
84199.004,2384,18,10,,,,,,,,,,,
84199.004,2384,18,10,,,,,,,,,,,
84199.004,2384,18,10,,,,,,,,,,,
