timestamp_utc,iTOW,ecefX,ecefY,ecefZ,ecefXHp,ecefYHp,ecefZHp,pAcc,invalidEcef,ecefX_full_m,ecefY_full_m,ecefZ_full_m
2025-09-28T23:05:22.000337+00:00,83145000,86378238,-550317403,309596220,-42,-40,-10,71204,False,863782.3758,-5503174.034,3095962.199
2025-09-28T23:05:27.000338+00:00,83150000,86378237,-550317392,309596214,-9,-27,-45,72543,False,863782.3691,-5503173.9227,3095962.1355000003
2025-09-28T23:05:32.000339+00:00,83155000,86378231,-550317392,309596229,-7,-29,49,73564,False,863782.3093000001,-5503173.9229,3095962.2949
2025-09-28T23:05:37.000340+00:00,83160000,86378225,-550317390,309596233,-30,30,48,74353,False,863782.247,-5503173.897000001,3095962.3348000003
2025-09-28T23:05:42.000341+00:00,83165000,86378210,-550317402,309596275,-46,9,19,75090,False,863782.0954,-5503174.019099999,3095962.7519
2025-09-28T23:05:47.000342+00:00,83170000,86378213,-550317389,309596255,19,-41,31,76349,False,863782.1319,-5503173.894099999,3095962.5530999997
2025-09-28T23:05:52.000343+00:00,83175000,86378202,-550317397,309596290,-31,11,-30,77464,False,863782.0169,-5503173.9689,3095962.897
2025-09-28T23:05:57.000344+00:00,83180000,86378193,-550317398,309596320,-26,9,3,78466,False,863781.9274,-5503173.9791,3095963.2003
2025-09-28T23:06:02.000345+00:00,83185000,86378176,-550317411,309596368,35,-41,15,79081,False,863781.7635,-5503174.1141,3095963.6815
2025-09-28T23:06:07.000346+00:00,83190000,86378170,-550317408,309596383,-20,20,-8,79753,False,863781.698,-5503174.078,3095963.8292
2025-09-28T23:06:12.000347+00:00,83195000,86378170,-550317390,309596377,26,-22,39,80645,False,863781.7026,-5503173.9022,3095963.7739
2025-09-28T23:06:17.000347+00:00,83200000,86378160,-550317384,309596408,31,47,39,81107,False,863781.6031,-5503173.835299999,3095964.0839
2025-09-28T23:06:22.000348+00:00,83205000,86378147,-550317381,309596446,45,-9,-2,81271,False,863781.4745,-5503173.8109,3095964.4598
2025-09-28T23:06:27.000349+00:00,83210000,86378131,-550317386,309596499,47,-1,-43,81346,False,863781.3147000001,-5503173.8601,3095964.9857
2025-09-28T23:06:32.000350+00:00,83215000,86378116,-550317390,309596548,12,-42,-7,81375,False,863781.1612000001,-5503173.904200001,3095965.4793
