message_type,timestamp,iTOW,week,leapS,numMeas,recStat,version,meas_index,prMes,cpMes,doMes,gnssId,svId,sigId,freqId,locktime,cno,prStdev,cpStdev,doStdev,trkStat
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,22,23893026.1494711,97837946.8380151,-988.20098877,0,27,3,0,6000,40,4,2,7,15
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,23,21617854.316612,88521501.8878032,985.942871094,0,32,3,0,6000,40,4,2,7,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,0,21709478.6469567,114084076.875953,1829.235839844,0,10,0,0,8000,52,3,1,4,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,1,19830056.3784297,104207645.73587,199.865722656,0,23,0,0,8000,43,3,1,6,15
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,2,23893502.5139608,125561202.487507,-1269.612792969,0,27,0,0,8000,41,4,2,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,3,21617368.3216263,113600035.263348,1264.379882812,0,32,0,0,8000,45,3,1,5,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,4,22893975.0017073,120308649.798427,-99.807373047,2,3,0,0,8000,44,4,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,5,22515053.7140684,118317405.549228,-2073.573730469,2,5,0,0,8000,43,4,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,6,23616572.1343678,122977686.97373,1129.654541016,3,20,0,0,8000,51,3,1,4,15
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,7,23759145.3993168,123720104.497684,835.368164062,3,29,0,0,8000,45,3,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,8,21957247.9339013,114337149.489234,-613.096191406,3,32,0,0,8000,52,3,1,4,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,9,19835961.1399715,105848489.25703,-1035.693359375,6,2,0,3,8000,51,5,1,4,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,10,21051825.4361371,112376074.277287,2570.431152344,6,18,0,4,8000,50,5,1,5,15
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,11,22281297.4009279,119064494.636745,-1109.440429688,6,11,0,7,1660,28,8,6,9,3
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,12,21765169.8080614,116347282.735438,-2407.263916016,6,1,0,8,1000,28,8,6,9,3
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,13,20873202.1541733,111618376.628733,-4270.975097656,6,24,0,9,8000,31,7,6,8,15
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,14,18962777.2362704,101473648.686825,-877.859619141,6,17,0,11,8000,44,5,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,15,23784700.2037918,124989444.453447,1472.478027344,2,15,0,0,8000,45,3,1,5,7
