rcvTOW,ZHD_m,ZWD_m,ZTD_m,ZTD_sigma_m,n_sats,sats_used,PWV_mm
225195.992000,1.930230,21.378438,23.308668,3.291356,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.872412
225196.992000,1.930230,21.339749,23.269979,3.297819,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.693480
225197.992000,1.930230,21.277773,23.208003,3.292989,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.406847
225198.992000,1.930230,21.413674,23.343904,3.309016,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.035374
225199.992000,1.930230,21.347877,23.278107,3.326720,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.731070
225200.992000,1.930230,21.256330,23.186560,3.331801,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.307677
225201.992000,1.930230,21.134303,23.064533,3.342422,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.743321
225202.992000,1.930230,21.219219,23.149449,3.345605,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.136043
225203.992000,1.930230,21.162916,23.093146,3.356430,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.875651
225204.992000,1.930230,21.084297,23.014527,3.365780,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.512046
225205.992000,1.930230,21.137043,23.067273,3.384520,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.755991
225206.992000,1.930230,21.079652,23.009882,3.395465,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.490564
225207.992000,1.930230,21.076075,23.006305,3.425250,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.474021
225208.992000,1.930230,21.108318,23.038547,3.440865,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.623139
225209.992000,1.930230,21.204794,23.135024,3.443955,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.069330
225210.992000,1.930230,21.014627,22.944857,3.423047,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.189833
225211.992000,1.930230,20.979598,22.909828,3.444231,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.027830
225212.992000,1.930230,21.042213,22.972443,3.443484,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.317413
225213.992000,1.930230,21.054860,22.985090,3.459959,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.375906
225214.992000,1.930230,21.235343,23.165573,3.266741,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.210616
225215.992000,1.930230,20.898670,22.828900,3.455175,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",96.653547
225216.992000,1.930230,20.942603,22.872833,3.462098,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",96.856733
225217.992000,1.930230,21.136458,23.066688,3.240173,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.753284
225218.992000,1.930230,20.837181,22.767411,3.443406,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",96.369168
225219.992000,1.930230,20.858944,22.789174,3.455486,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",96.469819
225220.992000,1.930230,20.773359,22.703589,3.434780,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",96.074001
225221.992000,1.930230,21.167156,23.097386,3.249664,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.895259
225222.992000,1.930230,20.777810,22.708040,3.459019,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",96.094585
225223.992000,1.930230,20.775282,22.705512,3.455424,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",96.082894
225224.992000,1.930230,20.777695,22.707925,3.473399,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",96.094053
225225.992000,1.930230,20.773341,22.703571,3.471500,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",96.073918
225226.992000,1.930230,21.221532,23.151762,3.253788,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.146740
225227.992000,1.930230,21.188406,23.118636,3.253422,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.993539
