rcvTOW,ZHD_m,ZWD_m,ZTD_m,PWV_mm,clk_residual_m,n_sats,rms_m
225691.992,1.93022954639882,-5.9860984557334405,-4.05586890933462,-10.075640272327334,46.041378098730334,15,5.831218984295362
225692.992,1.93022954639882,-6.095148204447689,-4.164918658048869,-10.259189882805272,46.208644571792206,15,5.795560390494472
225693.992,1.93022954639882,-6.145416900019267,-4.215187353620447,-10.34380080213508,46.169437846067964,15,5.860843592595842
225694.992,1.93022954639882,-6.1127442581365115,-4.182514711737691,-10.288807088150653,46.24541035496828,15,5.799311266205576
225695.992,1.93022954639882,-6.138722573610795,-4.208493027211975,-10.332533091579352,46.25236283137086,15,5.917225731210534
225696.992,1.93022954639882,-6.27361641558768,-4.34338686918886,-10.559582786261451,46.546324381786334,15,5.923456702563479
225697.992,1.93022954639882,-6.316243458232889,-4.386013911834069,-10.631331480463917,46.75878715640462,15,5.951537286418547
225698.992,1.93022954639882,-6.2143396176769015,-4.284110071278081,-10.459809670823898,46.34888683369969,15,5.961255976821446
225699.992,1.93022954639882,-6.209983728731941,-4.279754182333121,-10.452477955450323,46.4615551803468,15,5.9127277333142425
225700.992,1.93022954639882,-6.305236297838913,-4.375006751440093,-10.61280452348691,46.77618765792917,15,5.937059117759391
225701.992,1.93022954639882,-6.302250533361368,-4.372020986962548,-10.607778964846988,46.54832508570326,15,5.890056913601317
225702.992,1.93022954639882,-6.281134427520412,-4.350904881121592,-10.572236902186443,46.6599986498197,15,5.888039825326192
225703.992,1.93022954639882,-6.25088023249969,-4.32065068610087,-10.52131385305656,46.46937243487147,15,5.9058962159995385
225704.992,1.93022954639882,-6.267210922129664,-4.3369813757308435,-10.548801231576544,46.33336114284453,15,5.944672098765129
225705.992,1.93022954639882,-6.18433730187107,-4.2541077554722495,-10.409310578028858,46.18651960092444,15,5.936802001504885
225706.992,1.93022954639882,-6.1828005269388155,-4.252570980539995,-10.406723919705172,46.363485618221084,15,5.91985311800588
225707.992,1.93022954639882,-6.1857475119885725,-4.255517965589752,-10.411684205852962,46.18116239270761,15,5.918263876393525
225708.992,1.93022954639882,-6.039601453733798,-4.109371907334978,-10.165695082706595,46.01936410986208,15,5.947097395233366
225709.992,1.93022954639882,-6.155897754228697,-4.225668207829877,-10.36144189466669,45.905099254644405,15,5.912933023578415
225710.992,1.93022954639882,-6.176976044787999,-4.246746498389179,-10.39692030766,46.012644026070575,15,5.964716859113252
225711.992,1.93022954639882,-6.096332590279604,-4.166103043880784,-10.2611834092523,45.904060595166726,15,5.910025855289913
225712.992,1.93022954639882,-6.293292682426175,-4.363063136027355,-10.592701350553877,46.29016340562469,15,5.908817124978818
225713.992,1.93022954639882,-6.186007783849121,-4.255778237450301,-10.412122288463745,46.1023984169319,15,5.835454077368121
225714.992,1.93022954639882,-6.242210364133574,-4.311980817734754,-10.506720963295157,46.31198130129956,15,5.812664813004647
225715.992,1.93022954639882,-6.238885096400959,-4.308655550002139,-10.501123961887519,46.1313082360741,15,5.879468986513379
225716.992,1.93022954639882,-6.20235608000088,-4.2721265336020595,-10.439639301808695,46.16621333588172,15,5.940005252372569
225717.992,1.93022954639882,-6.13333668879866,-4.20310714239984,-10.32346771480405,46.167802045856824,15,5.940818339848248
225718.992,1.93022954639882,-6.122344095985057,-4.192114549586237,-10.304965277587378,46.15859915839569,15,5.937868424544754
225719.992,1.93022954639882,-6.141407342514483,-4.2111777961156625,-10.337052022547148,45.989773047720384,15,5.914916725758768
225720.992,1.93022954639882,-6.148195838023883,-4.217966291625062,-10.34847823600635,46.109440944608195,15,5.917154606452883
225721.992,1.93022954639882,-6.003265266698248,-4.073035720299428,-10.104534987839202,45.92671698087005,15,5.910958114174172
225722.992,1.93022954639882,-6.085928754257539,-4.155699207858719,-10.243671951666732,46.36531977207555,15,5.991466972477426
225723.992,1.93022954639882,-5.90676750929748,-3.97653796289866,-9.9421125522835,45.85863296794524,15,6.0071788542073055
225724.992,1.93022954639882,-6.031617951468597,-4.101388405069777,-10.15225746594631,46.09445704857691,15,5.9807728114053855
225725.992,1.93022954639882,-5.959604806093231,-4.029375259694411,-10.031046872260527,46.1367567071693,15,6.020916858287654
225726.992,1.93022954639882,-5.888423629338145,-3.9581940829393245,-9.911236625828934,45.99089319446086,15,6.041952771744046
225727.992,1.93022954639882,-5.900528053182525,-3.9702985067837044,-9.931610467198507,45.98857989914256,15,5.981529179795592
225728.992,1.93022954639882,-5.927602566619572,-3.997373020220752,-9.977181561619565,45.90144538124297,15,5.951201082397603
225729.992,1.93022954639882,-5.876431006842712,-3.946201460443892,-9.891050965489509,45.853296098351834,15,5.949676228555663
225730.992,1.93022954639882,-5.861722669088165,-3.9314931226893446,-9.866294286107335,45.83645585661046,15,5.968716576415229
225731.992,1.93022954639882,-5.81657392330013,-3.8863443769013095,-9.790301128849572,45.690791216868895,15,5.933916197911177
225732.992,1.93022954639882,-5.801174927045494,-3.870945380646674,-9.76438195161519,45.75779407973196,15,5.982658207676882
225733.992,1.93022954639882,-5.852196465704426,-3.921966919305606,-9.850260036225654,45.954789266555,15,6.000620428256375
225734.992,1.93022954639882,-5.777406559944739,-3.8471770135459185,-9.724375673980639,45.513327338878376,15,5.911723237941995
225735.992,1.93022954639882,-5.7346544958559855,-3.8044249494571654,-9.652416547039586,45.4972728687096,15,5.890640151517388
225736.992,1.93022954639882,-5.891707221920949,-3.9614776755221293,-9.916763480742844,45.794174754616186,15,5.854842500477899
225737.992,1.93022954639882,-5.9141706377831955,-3.9839410913843754,-9.95457329947359,45.871846887326235,15,5.890857049594439
225738.992,1.93022954639882,-5.850562508156777,-3.920332961757957,-9.847509802731816,45.766218558513465,15,5.846421254711784
225739.992,1.93022954639882,-5.815406780878215,-3.8851772344793947,-9.7883366260475,45.748970366981695,15,5.839014916888642
225740.992,1.93022954639882,-5.819567385871329,-3.8893378394725087,-9.795339644714142,45.75928084562273,15,5.779026509142205
225741.992,1.93022954639882,-5.820022026989947,-3.889792480591127,-9.796104884443837,45.69740486614492,15,5.783510122458325
225742.992,1.93022954639882,-5.799712192098061,-3.8694826456992413,-9.761919915406953,45.54541263914263,15,5.751954183634095
225743.992,1.93022954639882,-5.7847838622878305,-3.8545543158890103,-9.736792951300558,45.843958872102554,15,5.75610004886227
225744.992,1.93022954639882,-5.833867220095642,-3.9036376736968217,-9.819408741917194,45.802350239730295,15,5.750250597748868
225745.992,1.93022954639882,-5.995865383823621,-4.065635837424801,-10.092079703574592,45.954874522991766,15,5.7317334822141675
225746.992,1.93022954639882,-6.002604280164946,-4.072374733766126,-10.103422433045182,45.96800272359067,15,5.777574674999248
225747.992,1.93022954639882,-6.0193895736978345,-4.089160027299014,-10.131674988654389,45.965253664523026,15,5.7916650027271155
225748.992,1.93022954639882,-6.0982776407176855,-4.168048094318865,-10.264457265950542,46.18026606875953,15,5.768535790274014
225749.992,1.93022954639882,-6.068021838420025,-4.137792292021205,-10.213531511495251,46.10901398691593,15,5.8671731288112206
225750.992,1.93022954639882,-6.079908462929476,-4.149678916530656,-10.233538758869331,46.058413475965544,15,5.878606489378685
225751.992,1.93022954639882,-6.023310884657934,-4.093081338259114,-10.138275234026574,46.18012444237881,15,5.844236131300713
225752.992,1.93022954639882,-6.028753570945727,-4.098524024546907,-10.147436217521326,46.17940369511678,15,5.87044653022446
225753.992,1.93022954639882,-6.046334666550256,-4.116105120151436,-10.177028245820653,46.11632082734402,15,5.875109558236113
225754.992,1.93022954639882,-6.156054583963168,-4.225825037564348,-10.361705866266927,46.24710682012024,15,5.830910947792247
225755.992,1.93022954639882,-6.008336094643372,-4.078106548244552,-10.1130700693511,45.888973443917315,15,5.789638228928182
225756.992,1.93022954639882,-6.061124752600488,-4.130895206201668,-10.201922521740252,45.98304344699223,15,5.841980273485591
225757.992,1.93022954639882,-6.1339893663254745,-4.203759819926654,-10.32456628410134,45.980881577263816,15,5.808201232306836
225758.992,1.93022954639882,-6.1215285916547915,-4.191299045255971,-10.303592642584288,46.017415423214786,15,5.734061946195582
225759.992,1.93022954639882,-6.168161552258478,-4.2379320058596575,-10.38208399038802,46.051674962092285,15,5.75690419365635
225760.992,1.93022954639882,-6.276053449245375,-4.345823902846555,-10.56368473591164,46.49750991061654,15,5.752238520956023
225761.992,1.93022954639882,-6.282359739043929,-4.352130192645109,-10.574299313659255,46.379296044649564,15,5.749858717370758
225762.992,1.93022954639882,-6.32510973369312,-4.3948801872943,-10.646254957375175,46.66578451258381,15,5.721351230413237
225763.992,1.93022954639882,-6.345538841487356,-4.4153092950885355,-10.680640683360382,46.69425912437649,15,5.660497895554781
225764.992,1.93022954639882,-6.665748633205858,-4.735519086807038,-11.219609211340797,47.116544166087614,15,5.564582471897967
225765.992,1.93022954639882,-6.647023211848769,-4.7167936654499485,-11.188091084644922,46.868233836428395,15,5.491827664630576
225766.992,1.93022954639882,-6.678315174588145,-4.748085628189325,-11.24076087654837,46.905617834419026,15,5.5260490184977895
225767.992,1.93022954639882,-6.665365793478769,-4.735136247079949,-11.218964825786395,47.03583497967036,15,5.518334965714281
225768.992,1.93022954639882,-6.860114722426534,-4.929885176027714,-11.54676099653252,47.26367735943067,15,5.503840237412184
225769.992,1.93022954639882,-6.967271727354741,-5.037042180955921,-11.72712479146518,47.58975399795926,15,5.522420203970222
225770.992,1.93022954639882,-7.037449261102115,-5.1072197147032945,-11.845245732920864,47.566119453995825,15,5.4925943702118465
225771.992,1.93022954639882,-7.013504659042927,-5.083275112644107,-11.80494282133388,47.70437575343956,15,5.503458735683093
225772.992,1.93022954639882,-7.091630647172971,-5.1614011007741505,-11.936442387894548,47.564126137485815,15,5.5005691650261195
225773.992,1.93022954639882,-7.143836722781818,-5.213607176382998,-12.024314253309804,47.767705999856595,15,5.529475941901212
225774.992,1.93022954639882,-7.163521186987285,-5.233291640588464,-12.057446615190324,47.850992302914534,15,5.550910289995535
225775.992,1.93022954639882,-7.110433336383763,-5.180203789984943,-11.968090569768146,47.61947637517401,15,5.576744356719313
225776.992,1.93022954639882,-7.021356014153853,-5.091126467755033,-11.818158011550508,47.72894658240627,15,5.576518586055195
